state	c_allTransitions[1]
1.0E7	28.0
1.001E7	25.0
1.002E7	26.0
1.003E7	30.0
1.004E7	27.0
1.005E7	25.0
1.006E7	26.0
1.007E7	24.0
1.008E7	25.0
1.009E7	30.0
1.01E7	24.0
1.011E7	24.0
1.012E7	27.0
1.013E7	28.0
1.014E7	25.0
1.015E7	25.0
1.016E7	23.0
1.017E7	25.0
1.018E7	29.0
1.019E7	26.0
1.02E7	28.0
1.021E7	30.0
1.022E7	26.0
1.023E7	23.0
1.024E7	28.0
1.025E7	27.0
1.026E7	30.0
1.027E7	26.0
1.028E7	25.0
1.029E7	25.0
1.03E7	24.0
1.031E7	29.0
1.032E7	31.0
1.033E7	25.0
1.034E7	26.0
1.035E7	28.0
1.036E7	28.0
1.037E7	24.0
1.038E7	25.0
1.039E7	24.0
1.04E7	25.0
1.041E7	26.0
1.042E7	25.0
1.043E7	28.0
1.044E7	26.0
1.045E7	27.0
1.046E7	27.0
1.047E7	28.0
1.048E7	27.0
1.049E7	25.0
1.05E7	26.0
1.051E7	32.0
1.052E7	23.0
1.053E7	26.0
1.054E7	27.0
1.055E7	26.0
1.056E7	24.0
1.057E7	27.0
1.058E7	25.0
1.059E7	28.0
1.06E7	24.0
1.061E7	24.0
1.062E7	25.0
1.063E7	29.0
1.064E7	23.0
1.065E7	26.0
1.066E7	28.0
1.067E7	27.0
1.068E7	30.0
1.069E7	25.0
1.07E7	26.0
1.071E7	25.0
1.072E7	27.0
1.073E7	33.0
1.074E7	26.0
1.075E7	27.0
1.076E7	26.0
1.077E7	23.0
1.078E7	28.0
1.079E7	26.0
1.08E7	24.0
1.081E7	27.0
1.082E7	25.0
1.083E7	26.0
1.084E7	25.0
1.085E7	27.0
1.086E7	26.0
1.087E7	29.0
1.088E7	27.0
1.089E7	29.0
1.09E7	29.0
1.091E7	27.0
1.092E7	26.0
1.093E7	26.0
1.094E7	23.0
1.095E7	26.0
1.096E7	26.0
1.097E7	26.0
1.098E7	32.0
1.099E7	24.0
1.1E7	25.0
1.101E7	24.0
1.102E7	23.0
1.103E7	24.0
1.104E7	25.0
1.105E7	25.0
1.106E7	25.0
1.107E7	28.0
1.108E7	27.0
1.109E7	27.0
1.11E7	28.0
1.111E7	25.0
1.112E7	26.0
1.113E7	26.0
1.114E7	24.0
1.115E7	31.0
1.116E7	29.0
1.117E7	27.0
1.118E7	28.0
1.119E7	24.0
1.12E7	28.0
1.121E7	26.0
1.122E7	29.0
1.123E7	28.0
1.124E7	25.0
1.125E7	27.0
1.126E7	29.0
1.127E7	26.0
