"FROM","TO","prob","BF"
"Argentina","Uruguay",0.999990740997935,285082.381337488
"Brazil","Venezuela",0.999675934927733,8142.64670974859
"Argentina","Brazil",0.99961112191328,6785.09899099168
"Venezuela","Colombia",1,1000
"Peru","Venezuela",0.924928011258947,32.5213519310525
"Ecuador","Peru",0.847217206929437,14.6372301786253
"Bolivia","Brazil",0.829115857892836,12.8071365251609
"Venezuela","Ecuador",0.817097673212781,11.7921589185586
"Peru","Bolivia",0.628241808097923,4.46071901114426
"Argentina","Peru",0.608075701600881,4.09537844323
"Uruguay","Argentina",0.449635658268752,2.15649788954662
"Brazil","Peru",0.357471551716156,1.46854650632113
"Colombia","Argentina",0.248474579409831,0.872723898553613
"Brazil","Bolivia",0.242002536966566,0.84273444798138
"Uruguay","Peru",0.233391665046341,0.803619350171047
"Colombia","Ecuador",0.226789996574169,0.774221112959554
"Peru","Ecuador",0.219642046980176,0.742951051393125
"Uruguay","Bolivia",0.197068599946298,0.647854633265392
"Bolivia","Argentina",0.196105663731563,0.643916787616194
"Ecuador","Argentina",0.195050137496181,0.639611126819249
"Brazil","Ecuador",0.191216910641371,0.624069294846276
"Brazil","Argentina",0.180133885169856,0.57995067562792
"Colombia","Venezuela",0.175708082182902,0.562664191228323
"Peru","Argentina",0.169050859698342,0.53700894620185
"Argentina","Venezuela",0.154847550531004,0.483624022891455
"Uruguay","Brazil",0.151319870744331,0.470641812346268
"Uruguay","Venezuela",0.146403340647945,0.452727483530742
"Colombia","Uruguay",0.14086645741322,0.432798251530605
"Uruguay","Ecuador",0.140727572382249,0.432301656386694
"Uruguay","Colombia",0.127894595520495,0.387098773139037
"Colombia","Bolivia",0.124737275816413,0.37618060623516
"Ecuador","Bolivia",0.11967260168699,0.358830288371438
"Colombia","Peru",0.117598585224485,0.351782702683448
"Bolivia","Peru",0.116654167013879,0.348584500081676
"Colombia","Brazil",0.116468986972584,0.347958203280538
"Venezuela","Argentina",0.110348786607779,0.32740579841484
"Ecuador","Uruguay",0.105376702499005,0.310915934656999
"Peru","Brazil",0.100673129450108,0.295484414880005
"Bolivia","Uruguay",0.0976083997666732,0.285516182794349
"Peru","Uruguay",0.095284390248419,0.278002214560605
"Venezuela","Peru",0.0913122783626381,0.265248599352108
"Ecuador","Brazil",0.0910715443089544,0.26447923555044
"Ecuador","Venezuela",0.0907474792366879,0.263444196842908
"Bolivia","Ecuador",0.0886364267659232,0.256719674698117
"Argentina","Bolivia",0.088414210716369,0.256013642039892
"Ecuador","Colombia",0.0858865031526902,0.248006680540035
"Bolivia","Venezuela",0.0840717387479977,0.242285347203023
"Bolivia","Colombia",0.0814329231595419,0.234006396702636
"Peru","Colombia",0.0798218568002741,0.228975224057766
"Venezuela","Bolivia",0.0767571271168394,0.219452901741338
"Brazil","Colombia",0.0683314352379101,0.193596579764095
"Brazil","Uruguay",0.0652481875503458,0.184251366080596
"Venezuela","Uruguay",0.0625630769515662,0.176162970416171
"Venezuela","Brazil",0.0568687906817403,0.159162391713106
"Argentina","Ecuador",0.048443098802811,0.134380339167248
"Argentina","Colombia",0.0444061739025768,0.122661592884631
