"FROM","TO","prob","BF"
"Colombia","Ecuador",0.999787042952511,14747.2181308027
"Ecuador","Peru",0.992611316352324,421.994476761924
"Venezuela","Colombia",0.969917502291603,101.278094331823
"Argentina","Uruguay",0.913872762793626,33.3303469609367
"Argentina","Paraguay",0.888447543123802,25.0176935202746
"Venezuela","Ecuador",0.831208392359472,15.4686953694761
"Brazil","Bolivia",0.827347388498468,15.052525291824
"Brazil","Argentina",0.750868031443571,9.4673573856686
"Argentina","Brazil",0.579854263307501,4.33524364770307
"Brazil","Venezuela",0.515207910891364,3.33827119842439
"Bolivia","Paraguay",0.47318130051943,2.82137626600119
"Argentina","Venezuela",0.438191531716712,2.4500238730578
"Paraguay","Bolivia",0.395942705295223,2.05896436264342
"Argentina","Bolivia",0.314833847207948,1.44337817017432
"Peru","Argentina",0.27505717433775,1.1918286960954
"Paraguay","Argentina",0.271529494551077,1.17084567367254
"Colombia","Peru",0.262381600511097,1.11736805889898
"Brazil","Colombia",0.260992750201383,1.10936474931451
"Argentina","Colombia",0.24681721804024,1.02936568519579
"Uruguay","Argentina",0.22731775969186,0.924117200678374
"Peru","Brazil",0.22219753155005,0.897355501673101
"Bolivia","Argentina",0.194605705397072,0.75899975702098
"Uruguay","Brazil",0.187087395720489,0.722928404979877
"Peru","Bolivia",0.169634176828421,0.641709556228496
"Uruguay","Venezuela",0.168939751673565,0.63854860288177
"Brazil","Paraguay",0.16605094302936,0.625455536776329
"Venezuela","Brazil",0.165689841948835,0.623825278732612
"Paraguay","Uruguay",0.165625028934381,0.623532817680089
"Uruguay","Bolivia",0.164078775589567,0.616568979852952
"Uruguay","Paraguay",0.161152930937104,0.603462147732272
"Peru","Paraguay",0.158690036387878,0.592499849554966
"Paraguay","Brazil",0.158560410358972,0.591924664147191
"Uruguay","Colombia",0.158384489319741,0.591144338778172
"Peru","Uruguay",0.154319787413313,0.573205124459694
"Peru","Venezuela",0.148431062100127,0.54751951156977
"Uruguay","Ecuador",0.147384794866809,0.542992992478383
"Uruguay","Peru",0.142810847846819,0.523334237620822
"Paraguay","Venezuela",0.138292454839217,0.504119163772877
"Venezuela","Argentina",0.133116672685018,0.482354595348103
"Paraguay","Colombia",0.128931603751748,0.464945174442162
"Peru","Colombia",0.127987185541142,0.461039609663705
"Bolivia","Brazil",0.126052054109608,0.453063398353503
"Bolivia","Colombia",0.125913169078637,0.4524923013074
"Bolivia","Venezuela",0.1129968611983,0.400161995616649
"Paraguay","Ecuador",0.110617297667657,0.390687020327022
"Paraguay","Peru",0.109802505485959,0.387454312729702
"Peru","Ecuador",0.105895206614631,0.372033883658044
"Bolivia","Uruguay",0.0894789959538161,0.308692267276872
"Venezuela","Bolivia",0.0883308796977862,0.304347632545589
"Colombia","Venezuela",0.0858772441506254,0.29509931129995
"Bolivia","Peru",0.0805070229530661,0.275029935985436
"Bolivia","Ecuador",0.0796459357610437,0.271833703247842
"Ecuador","Colombia",0.0780626464079701,0.265972341004477
"Colombia","Argentina",0.0741090525263187,0.251423599634806
"Ecuador","Argentina",0.0732294473301668,0.248203640654145
"Brazil","Uruguay",0.0729794542744183,0.247289609546639
"Venezuela","Uruguay",0.0708406247974593,0.239489670570772
"Venezuela","Peru",0.0695073285001343,0.234645514580621
"Venezuela","Paraguay",0.0690906734072202,0.233134561518178
"Colombia","Brazil",0.068636982306047,0.23149083899016
"Colombia","Bolivia",0.0661370517485625,0.222462238665975
"Ecuador","Brazil",0.0613408886790182,0.205275340141574
"Brazil","Peru",0.0548873642398822,0.182424608690529
"Brazil","Ecuador",0.0543410831180615,0.180504646315593
"Ecuador","Bolivia",0.0531466718517078,0.176314479856232
"Argentina","Peru",0.0518967065729656,0.17194072738191
"Ecuador","Venezuela",0.0507763673231299,0.168030338307649
"Colombia","Paraguay",0.0504430432487986,0.16686869783049
"Colombia","Uruguay",0.050313417219892,0.166417168973198
"Ecuador","Paraguay",0.0500449061600141,0.165482251196446
"Ecuador","Uruguay",0.0498504671166542,0.164805571637435
"Argentina","Ecuador",0.0494801070340639,0.163517424064349
