FROM	TO	JUMPA	JUMPO	JUMPA2	JUMPO2	BORDER	REPO
Bolivia	Argentina	0.28	0.15	0.266	0.192	1	12
Brazil	Argentina	2.68	0.1	2.818	0.15	1	13
Colombia	Argentina	0.21	0.02	0.224	0.04845	0	34
Ecuador	Argentina	0.21	0.03	0.473	0.09101	0	88
Paraguay	Argentina	0	0.23	0	0.193	1	0
Peru	Argentina	0.02	0	0.01735	0.001939	0	1
Uruguay	Argentina	4.2	0.28	2.623	0.197	1	1
Venezuela	Argentina	0.05	0	0.04969	0.01679	0	4
Argentina	Bolivia	0.36	1.02	0.3	1.172	1	12
Brazil	Bolivia	0	0	0	0	1	1
Colombia	Bolivia	1.22	1.93	1.151	1.82	0	22
Ecuador	Bolivia	0.08	0.12	0.08654	0.16	0	76
Paraguay	Bolivia	0	0.11	0	0.132	1	12
Peru	Bolivia	0.04	1.23	0.05175	1.206	1	13
Uruguay	Bolivia	0	0.01	0.0007343	0.01377	0	13
Venezuela	Bolivia	0.02	0.26	0.01802	0.349	0	8
Argentina	Brazil	0.02	0.04	0.02371	0.07328	1	13
Bolivia	Brazil	2.44	0.3	2.558	0.508	1	1
Colombia	Brazil	0.43	1.23	0.325	1.283	1	21
Ecuador	Brazil	0	0	0	0	0	75
Paraguay	Brazil	0	0.09	0	0.126	1	13
Peru	Brazil	0.16	0.13	0.172	0.172	1	14
Uruguay	Brazil	0.08	0.25	0.135	0.344	1	14
Venezuela	Brazil	0.03	0.01	0.02711	0.01138	1	9
Argentina	Colombia	0.1	0.17	0.129	0.248	0	34
Bolivia	Colombia	0.09	0.04	0.09482	0.06635	0	22
Brazil	Colombia	0.24	0.09	0.24	0.214	1	21
Ecuador	Colombia	0.07	0.61	0.0835	0.641	1	54
Paraguay	Colombia	0	0.35	0	0.422	0	34
Peru	Colombia	0.16	0	0.166	0	1	35
Uruguay	Colombia	0	4.48	0	4.344	0	35
Venezuela	Colombia	0.53	0.1	0.389	0.168	1	30
Argentina	Ecuador	0.02	0.08	0.01105	0.06909	0	88
Bolivia	Ecuador	0.02	0.04	0.0298	0.11	0	76
Brazil	Ecuador	0.84	1.84	0.639	1.438	0	75
Colombia	Ecuador	0.28	0.08	0.34	0.2	1	54
Paraguay	Ecuador	0	0.09	0	0.09253	0	88
Peru	Ecuador	0.03	0.09	0.03308	0.109	1	89
Uruguay	Ecuador	0.1	0.63	0.12	0.61	0	89
Venezuela	Ecuador	0.44	0	0.178	0	0	84
Argentina	Paraguay	0	0.05	0	0.147	1	0
Bolivia	Paraguay	0	1.33	0	1.153	1	12
Brazil	Paraguay	0	0.03	0	0.07627	1	13
Colombia	Paraguay	0	0.12	0	0.129	0	34
Ecuador	Paraguay	0	0.37	0	0.219	0	88
Peru	Paraguay	0	0.52	0	0.287	0	1
Uruguay	Paraguay	0	0.22	0	0.105	0	1
Venezuela	Paraguay	0	0.03	0	0.05843	0	4
Argentina	Peru	0	0.05	0	0.0953	0	1
Bolivia	Peru	0.02	0	0	0	1	13
Brazil	Peru	0.01	0	0.007188	0.002201	1	14
Colombia	Peru	0.12	0.27	0.0104	0.186	1	35
Ecuador	Peru	3.09	0.01	0.06866	0.01493	1	89
Paraguay	Peru	0.8	0	3.438	0.003692	0	1
Uruguay	Peru	5.71	0.01	0.786	0.009451	0	0
Venezuela	Peru	0	0	6.623	0.004257	0	5
Argentina	Uruguay	0.57	0.02	0.491	0.01828	1	1
Bolivia	Uruguay	2.37	0.28	2.207	0.139	0	13
Brazil	Uruguay	0	0	0	0.002694	1	14
Colombia	Uruguay	0.17	0	0.239	0	0	35
Ecuador	Uruguay	1.31	0	1.663	0.002455	0	89
Paraguay	Uruguay	0	0	0	0.007806	0	1
Peru	Uruguay	4.26	0.22	1.584	0.148	0	0
Venezuela	Uruguay	0.03	0.04	0.03415	0.05243	0	5
Argentina	Venezuela	0.22	0.04	0.247	0.05229	0	4
Bolivia	Venezuela	0.03	0.01	0.06528	0.03587	0	8
Brazil	Venezuela	0.01	0.03	0.02841	0.07554	1	9
Colombia	Venezuela	0	0.36	0.004563	0.299	1	30
Ecuador	Venezuela	0	0	0	0.001324	0	84
Paraguay	Venezuela	0	0	0	0	0	4
Peru	Venezuela	0.01	0	0.02548	0.009222	0	5
Uruguay	Venezuela	0.09	0.01	0.124	0.02908	0	5
