Time	Mean	Median	Upper	Lower
1993.9480432376	9.3761153814	7.1797681235	30.4803742943	1.6780639402
1994.1118387148	9.7200281853	7.4841369326	31.174301612	1.7587892293
1994.2756341919	10.1067513452	7.7899767104	32.519074188	1.840220052
1994.4394296691	10.5468304963	8.1533535302	33.6726830126	1.9524866085
1994.6032251463	11.0289771139	8.5106954343	35.1908032645	2.04153173
1994.7670206234	11.5497252518	8.9615778728	36.6726859806	2.175294681
1994.9308161006	12.1266783458	9.4263784872	38.1908249238	2.2884820376
1995.0946115778	12.7477192149	9.939926926	39.8696716179	2.4457960071
1995.2584070549	13.407804292	10.5056473614	41.5808614829	2.6316752066
1995.4222025321	14.1181592109	11.150408588	43.1128938717	2.8261266648
1995.5859980093	14.8585509518	11.8130247765	44.9758895654	3.0659210413
1995.7497934864	15.6830083185	12.5183500782	46.7797314625	3.283986694
1995.9135889636	16.593986279	13.3010236629	49.1874432499	3.5668474256
1996.0773844408	17.5469295572	14.1428196271	51.8802164765	3.8803060367
1996.2411799179	18.545323832	15.0278422699	54.4738559861	4.2308340029
1996.4049753951	19.6000916758	15.9434605107	56.7417457832	4.5922013551
1996.5687708723	20.7353060015	16.9190981932	58.9356658323	5.0341205562
1996.7325663494	21.9353969755	17.949815973	62.3889133661	5.458114259
1996.8963618266	23.2292426368	19.1002293201	65.2060572827	5.952029569
1997.0601573038	24.5599885414	20.2881234269	68.7455205421	6.4768090602
1997.2239527809	25.9390606032	21.4881590936	71.9535709983	7.055925703
1997.3877482581	27.3662976893	22.7779492198	74.1406180041	7.6576795602
1997.5515437353	28.8252730195	24.0598902258	77.0602716887	8.3255977158
1997.7153392124	30.3224105165	25.4165455349	81.5549446078	8.8806519135
1997.8791346896	31.7930607027	26.7987485115	83.9611297605	9.6166064644
1998.0429301668	33.2233936369	28.2306660392	86.9393763679	10.4936895344
1998.206725644	34.556127275	29.5291926325	88.2425593447	11.3279167647
1998.3705211211	35.7837503403	30.7534886735	89.4901760995	12.1630273822
1998.5343165983	36.7876983289	31.768198138	90.4024108586	13.0200538905
1998.6981120755	37.5786812295	32.7769415805	90.3365950987	13.7693750559
1998.8619075526	38.0378273877	33.3880441806	88.7276324157	14.4708610537
1999.0257030298	38.1854293559	33.7771489981	86.7414090732	15.0455750151
1999.189498507	37.9951730607	33.8408496826	84.3504378786	15.4270142756
1999.3532939841	37.4499944229	33.5180856665	82.1998663007	15.7066108847
1999.5170894613	36.7997721581	32.9218101405	80.3457150604	15.6839953816
1999.6808849385	36.2625466014	32.5302841115	78.3797717693	15.4129099971
1999.8446804156	35.760045999	32.1857701296	77.1064592088	15.4639380487
2000.0084758928	34.9615480109	31.5247927453	75.3757496031	15.2256413614
2000.17227137	33.9785163495	30.5872242038	73.2757475879	14.8379263454
2000.3360668471	32.7034850235	29.5355650412	70.1785630466	14.1517210029
2000.4998623243	31.3569680497	28.3802474528	66.2210718394	13.5231872685
2000.6636578015	30.1482575739	27.3809991127	63.5737595105	13.0881964773
2000.8274532786	29.080820349	26.4472749616	60.995797865	12.7625978557
2000.9912487558	28.1957338186	25.6713084747	58.8604860826	12.5500909592
2001.155044233	27.469765597	25.0227231326	56.8544125369	12.3183230375
2001.3188397101	26.7512852904	24.3997268621	54.9923969742	12.0312549552
2001.4826351873	26.109240592	23.9144786168	53.6549496114	11.8197227503
2001.6464306645	25.5447552439	23.4487857877	51.2782710074	11.7904098742
2001.8102261416	25.0583385539	23.0485298507	50.1447009284	11.8609282074
2001.9740216188	24.3030336914	22.3569239871	48.3788538721	11.7762148015
2002.137817096	23.2501611866	21.4921952963	45.6373376748	11.41841788
2002.3016125731	21.8255060142	20.2276676465	42.1688847629	10.9282165723
2002.4654080503	19.9802904474	18.6359089564	37.7709180135	10.1870051201
