year	cattle	pigs	sheep
1961	141431840	37369612	111360800
1962	144000370	37021130	109672436
1963	143337840	37912830	108757364
1964	148105960	38964602	109333682
1965	154793140	39822909	112201700
1966	160131690	40773817	113163370
1967	166194480	41590920	113002310
1968	169983730	41443680	111236330
1969	170708640	42855080	112502100
1970	174131460	44084073	108585247
1971	180087350	45544970	104687900
1972	188238890	46001180	99705400
1973	194759150	47739440	100202570
1974	202302780	48798270	94243420
1975	207945930	50391360	95141250
1976	219166690	50741510	95611140
1977	228729320	49837460	95928120
1978	226160180	49196650	93128980
1979	228093260	51815300	93718610
1980	238186490	50834844	96276840
1981	240712140	49128010	98324456
1982	241563700	50425640	96294982
1983	242562920	49398720	93579034
1984	245884420	50280020	90340866
1985	247220260	49229380	93408342
1986	250126080	49776290	95458052
1987	253929370	49651310	97531563
1988	260641320	50032410	98892790
1989	265652880	50640540	99590640
1990	268141850	49959420	96976470
1991	272937550	51052050	96512680
1992	277219910	51766980	93848030
1993	279486180	51954760	83119521
1994	285043430	53895450	80483241
1995	288862610	53895670	78343759
1996	285275870	46834690	73536238
1997	287514960	47236520	71371372
1998	287594820	47744380	70197395
1999	289337200	45335010	69714801
2000	294151210	46307830	69423518
2001	302074460	47810590	67916448
2002	315364960	46758810	65108495
2003	331283560	47108340	65849470
2004	341657160	47824700	67869034
2005	346019780	49263600	71272531
2006	347351180	51388990	72779132
2007	342904560	51821060	72136652
2008	345213950	52442380	71911118
2009	346850350	54288580	71221050
2010	346103420	55590970	70829950
