Year	Arg	Bol	Bra	Col	Ecu	Par	Per	Uru	Ven	Mean	Median
1986	2.50	0.52	2.40	1.62	0.45	1.50	0.20	1.96	0.71	1.32	1.50
1987	3.27	0.32	2.00	1.26	0.32	1.39	0.23	3.04	0.71	1.39	1.26
1988	2.50	0.38	2.55	0.97	0.30	1.74	0.02	3.49	1.04	1.44	1.04
1989	2.48	0.04	1.71	1.00	0.26	1.24	0.10	3.03	0.67	1.17	1.00
1990	3.03	NA	1.67	1.06	0.32	1.55	0.19	3.29	0.91	1.50	1.30
1992	1.49	NA	1.50	0.51	0.23	1.26	0.19	2.28	0.81	1.03	1.04
1993	1.80	0.19	1.32	0.91	0.30	0.84	NA	2.00	0.90	1.03	0.91
1994	1.91	0.85	1.45	0.55	0.25	1.09	0.50	1.69	0.64	0.99	0.85
1995	1.79	0.85	1.36	0.79	0.30	1.36	1.09	NA	0.02	0.94	0.97
1997	1.34	0.85	1.99	1.10	0.28	1.45	0.33	NA	0.96	1.04	1.03
1998	1.19	0.35	1.57	1.71	0.66	1.52	0.65	NA	1.15	1.10	1.17
1999	0.05	0.55	1.88	1.77	0.60	1.43	0.77	NA	1.47	1.06	1.10
2000	0.01	0.00	3.96	1.52	0.86	0.55	0.31	NA	0.12	0.91	0.43
2001	0.99	1.10	2.10	1.40	0.70	2.00	NA	1.90	2.00	1.52	1.65
2002	2.47	1.93	2.05	2.69	1.41	1.35	1.70	2.70	1.98	2.03	1.98
2003	1.61	NA	2.43	2.33	0.88	2.34	0.58	1.71	2.02	1.74	1.87
2004	2.02	1.50	1.75	2.22	1.11	1.58	NA	1.58	1.41	1.65	1.58
2005	NA	1.47	1.81	2.20	1.27	1.53	NA	1.84	1.77	1.70	1.77
2006	NA	1.24	1.85	1.14	0.68	2.65	NA	1.77	1.66	1.57	1.66
2007	NA	1.29	1.98	1.66	1.47	2.82	NA	1.71	1.35	1.75	1.66
2008	NA	NA	1.84	3.85	NA	2.85	NA	1.76	NA	2.58	2.35
2009	1.80	1.38	1.68	1.93	NA	1.73	NA	1.75	NA	1.71	1.74
2010	1.70	1.76	1.75	1.85	1.94	2.55	NA	1.74	NA	1.90	1.76
