YEAR	COUNTRY
1976	Bra
1981	Arg
1987	Arg
1987	Arg
1987	Arg
1976	Arg
1968	Arg
1971	Arg
1990	Arg
1990	Arg
1990	Arg
1991	Arg
1992	Arg
1992	Arg
1992	Arg
2000	Arg
2000	Arg
2000	Arg
2000	Arg
2000	Arg
2000	Arg
2000	Arg
2000	Arg
2000	Arg
2000	Arg
2000	Arg
2000	Arg
2001	Arg
2001	Arg
2001	Arg
2001	Arg
2001	Arg
2001	Arg
2001	Arg
2001	Arg
2001	Arg
2001	Arg
2001	Arg
2001	Arg
2001	Arg
2001	Arg
2001	Arg
2001	Arg
2001	Arg
2001	Arg
2001	Arg
2001	Arg
2001	Arg
2001	Arg
2001	Arg
2002	Arg
1976	Bra
1970	Ven
2000	Arg
2001	Arg
2001	Arg
2001	Arg
2001	Uru
2001	Uru
2001	Bra
2001	Bra
2001	Bra
2000	Bol
2001	Bol
2001	Bol
2001	Bol
2001	Bol
2001	Bol
2002	Bol
2004	Col
2008	Col
2008	Col
2008	Col
2008	Col
2008	Col
2008	Col
2002	Ecu
2000	Per
1999	Per
2001	Ven
2001	Ven
2002	Ven
2003	Ven
2003	Ven
2003	Ven
2003	Ven
2004	Ven
2004	Ven
2004	Ven
2004	Ven
2004	Ven
2004	Ven
2004	Ven
2004	Ven
2004	Ven
2004	Ven
2005	Ven
2005	Ven
2005	Ven
2005	Ven
2006	Ven
2007	Ven
1958	Bra
1959	Bra
1959	Bra
1962	Ven
1962	Arg
1955	Bra
1959	Arg
1966	Arg
1967	Col
1969	Per
1970	Ven
1970	Bra
1975	Ecu
1975	Per
1976	Bra
1976	Bra
1976	Bra
1976	Col
1979	Ecu
1981	Bra
1984	Bra
1984	Col
1985	Col
1989	Ven
1997	Col
1997	Col
1997	Col
1997	Bra
2001	Arg
