countries	1987	1988	1989	1990	1991	1992	1993	1994	1995	SUM	1996	1997	1998	1999	2000	2001	2002	2003	SUM	2004	2005	2006	2007	2008	2009	2010	SUM
Argentina	96	0	15	5	919	3654	1432	1796	1820	9737	1785	2137	2974	3555	8	871	744	182	12256	525	248	0	993	1239	816	770	4591
Bolivia (Plurinational State of)	64	95	0	0	0	60	260	186	93	758	38	27	515	855	971	263	857	548	4074	1213	238	1329	1285	452	794	1263	6574
Brazil	0	13	654	628	117	83	132	365	3948	5940	1474	754	1072	695	288	35	1368	652	6338	124	915	215	239	559	249	245	2546
Chile	96	359	143	262	234	189	76	366	30	1755	97	340	102	23	224	173	167	259	1385	550	246	1407	1015	671	122	481	4492
Colombia	670	36	153000	13600	55	36	237	25000	2110	194744	3914	2520	4902	391	361	37	160	127	12412	147	149	669	195	0	703	1462	3325
Ecuador	10	430	200	259	0	300	68	7714	3192	12173	794	325	1135	400	104	869	1404	1223	6254	1175	1532	2314	1699	1645	8900	16115	33380
Guyana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	36	36	0	112
Paraguay	23	1	0	0	0	94	22	83	115	338	37	0	0	0	0	0	355	12	404	236	91	129	667	149	0	283	1555
Peru	1850	407	72	150	15	48	34	26	24	2626	26	48	0	53	0	15	0	0	142	27	0	18	0	608	996	466	2115
Suriname	110	20	0	0	0	50	0	0	0	180	10	35	0	4	8	0	0	0	57	0	0	18	21	0	0	18	57
Uruguay	0	0	9	100	352	0	9	0	430	900	22	166	45	67	0	0	100	27	427	0	26	86	27	41	153	30	363
Venezuela (Bolivarian Republic of)	1100	2950	1899	10	560	0	542	0	0	7061	0	0	589	2331	1769	713	891	673	6966	1204	1123	619	1457	1164	0	0	5567
Argentina	77	0	9	20	0	0	0	0	33	139	0	168	1169	12854	0	0	10	450	14651	186	26	101	0	0	91	0	404
Brazil	122	0	17	325	300	1675	1484	52	215	4190	0	0	96	174	0	539	888	194	1891	543	340	376	2581	1302	1424	1228	7794
Chile	5600	112	6	0	82	914	64	1477	1463	9718	2500	3485	2723	4963	3320	2697	1209	1131	22028	2230	1223	225	365	390	400	2133	6966
Colombia	0	0	0	0	0	0	0	7454	8785	16239	3760	887	86	1911	339	614	213	250	8060	547	921	309	1126	0	0	0	2903
Ecuador	0	0	0	0	0	0	0	0	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guyana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	19	10	0	104	0	0	0	0	114
Peru	50	0	0	164	0	0	298	100	0	612	0	0	1	0	20	672	0	79	772	220	7	596	21	1459	8575	15465	26343
Suriname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Uruguay	0	0	0	0	487	0	0	0	0	487	0	76	1638	20	305	0	162	0	2201	212	0	760	407	401	0	294	2074
Venezuela (Bolivarian Republic of)	340	0	153273	13345	0	0	213	23980	1382	192533	5255	0	6156	0	0	0	0	0	11411	0	0	7	0	0	0	0	7
