countries	1987	1988	1989	1990	1991	1992	1993	1994	1995	SUM	1996	1997	1998	1999	2000	2001	2002	2003	SUM	2004	2005	2006	2007	2008	2009	2010	SUM
Argentina	9067	43863	25763	32061	20341	19331	2615	27370	31666	212077	38576	136967	31818	20750	27557	13443	1780	1923	272814	345	3742	50	8	75	26	19	4265
Bolivia (Plurinational State of)	70	0	0	0	0	0	0	0	0	70	0	0	0	5	22	137	12	16	192	0	0	104	11	31	118	54	318
Brazil	220	534	343	6598	558	2249	110557	144718	61533	327310	105814	170365	95945	111084	175427	29690	4	49	688378	247	777	793	37377	13157	29292	4752	86395
Chile	8	240	213	12	2	45	100	0	189	809	19	0	1098	0	0	0	0	25	1142	0	0	42	41	0	5	4580	4668
Colombia	0	0	20	0	24	0	0	8	20	72	0	3	0	0	0	0	0	0	3	142	447	190	220	216	0	0	1215
Ecuador	6051	0	0	0	0	0	1000	0	0	7051	0	0	86	27	43	0	280	36	472	0	0	140	0	59	150	62	411
Guyana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	115	8	23	50	50	5	251
Paraguay	230	265	387	1366	2126	764	901	1014	1118	8171	1120	450	80	697	0	23	0	0	2370	33	0	144	307	835	468	468	2255
Peru	22480	12028	0	0	0	0	0	1340	9268	45116	223	0	29	41	0	0	0	4	297	995	0	0	0	10	0	31	1036
Suriname	0	244	51	15	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16
Uruguay	22	50	36	131	26	45	114	43	10	477	47	1	5	3	42	0	53	31	182	130	4	15	22	7	22	167	367
Venezuela (Bolivarian Republic of)	36	0	0	0	0	33	0	76	0	145	0	0	90	14	5	12	5	15	141	0	3	0	0	0	0	0	3
Argentina	4891	728	121	662	22742	3858	69299	656	178	103135	185	220	400	0	100	0	3800	10698	15403	35519	0	59	141	759	16	4599	41093
Brazil	0	29	168	93	40	126	256	726	155	1593	2055	1923	0	357	0	0	0	0	4335	0	385	84	66	3200	800	686	5221
Chile	12067	45165	52648	41080	48844	27680	0	19909	34856	282249	34202	66686	9014	14096	4026	95	0	4	128123	111	3704	993	0	1769	0	900	7477
Colombia	0	0	0	0	0	144	200	50	0	394	0	0	60	0	340	0	0	0	400	0	0	0	0	0	0	0	0
Ecuador	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paraguay	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peru	230	0	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	8	8	0	0	104	4	31	118	54	311
Uruguay	1020	251547	18977	212667	351166	104441	156926	350678	150523	1597945	211858	389574	12003	166636	309674	178248	0	128629	1396622	590661	279084	562758	408862	101174	166643	100000	2209182
Venezuela (Bolivarian Republic of)	0	178	327	1016	284	130	148	0	0	2083	400	1491	182	151	147	0	0	0	2371	0	2028	0	0	0	0	0	2028
