Reporter	Partner	Item	Element	Year	Unit	Value	Flag
Armenia	Austria	Cattle	Import Quantity	2007	Head	110	Official data
Armenia	Austria	Cattle	Import Quantity	2008	Head	615	Official data
Armenia	Austria	Cattle	Import Quantity	2009	Head	309	Official data
Armenia	Austria	Cattle	Import Value	2007	1000 US$	385	Official data
Armenia	Austria	Cattle	Import Value	2008	1000 US$	2339	Official data
Armenia	Austria	Cattle	Import Value	2009	1000 US$	1061	Official data
Armenia	France	Cattle	Import Quantity	2004	Head	4	Official data
Armenia	France	Cattle	Import Value	2004	1000 US$	9	Official data
Armenia	Germany	Cattle	Import Quantity	2005	Head	60	Official data
Armenia	Germany	Cattle	Import Quantity	2006	Head	61	Official data
Armenia	Germany	Cattle	Import Value	2005	1000 US$	162	Official data
Armenia	Germany	Cattle	Import Value	2006	1000 US$	165	Official data
Armenia	Spain	Cattle	Import Quantity	2001	Head	14	Official data
Armenia	Spain	Cattle	Import Value	2001	1000 US$	46	Official data
Armenia	Unspecified	Cattle	Import Quantity	2003	Head	1	Official data
Armenia	Unspecified	Cattle	Import Value	2003	1000 US$	2	Official data
Albania	Austria	Cattle	Import Quantity	2001	Head	33	Official data
Albania	Austria	Cattle	Import Quantity	2002	Head	396	Official data
Albania	Austria	Cattle	Import Quantity	2003	Head	628	Official data
Albania	Austria	Cattle	Import Quantity	2004	Head	166	Official data
Albania	Austria	Cattle	Import Quantity	2005	Head	293	Official data
Albania	Austria	Cattle	Import Quantity	2006	Head	254	Official data
Albania	Austria	Cattle	Import Quantity	2007	Head	63	Official data
Albania	Austria	Cattle	Import Value	2001	1000 US$	20	Official data
Albania	Austria	Cattle	Import Value	2002	1000 US$	186	Official data
Albania	Austria	Cattle	Import Value	2003	1000 US$	287	Official data
Albania	Austria	Cattle	Import Value	2004	1000 US$	214	Official data
Albania	Austria	Cattle	Import Value	2005	1000 US$	344	Official data
Albania	Austria	Cattle	Import Value	2006	1000 US$	305	Official data
Albania	Austria	Cattle	Import Value	2007	1000 US$	92	Official data
Albania	Bulgaria	Cattle	Import Quantity	2002	Head	1121	Unofficial figure                                 
Albania	Bulgaria	Cattle	Import Quantity	2003	Head	2181	Official data
Albania	Bulgaria	Cattle	Import Quantity	2004	Head	2659	Official data
Albania	Bulgaria	Cattle	Import Quantity	2005	Head	49058	Official data
Albania	Bulgaria	Cattle	Import Quantity	2006	Head	115843	Unofficial figure                                 
Albania	Bulgaria	Cattle	Import Quantity	2007	Head	62453	Unofficial figure                                 
Albania	Bulgaria	Cattle	Import Quantity	2008	Head	48039	Official data
Albania	Bulgaria	Cattle	Import Quantity	2009	Head	35894	Official data
Albania	Bulgaria	Cattle	Import Value	2002	1000 US$	111	Official data
Albania	Bulgaria	Cattle	Import Value	2003	1000 US$	341	Official data
Albania	Bulgaria	Cattle	Import Value	2004	1000 US$	587	Official data
Albania	Bulgaria	Cattle	Import Value	2005	1000 US$	6492	Official data
Albania	Bulgaria	Cattle	Import Value	2006	1000 US$	16909	Official data
Albania	Bulgaria	Cattle	Import Value	2007	1000 US$	23314	Official data
Albania	Bulgaria	Cattle	Import Value	2008	1000 US$	22954	Official data
Albania	Bulgaria	Cattle	Import Value	2009	1000 US$	19921	Official data
Albania	Denmark	Cattle	Import Quantity	2000	Head	50	Official data
Albania	Denmark	Cattle	Import Quantity	2003	Head	44	Official data
Albania	Denmark	Cattle	Import Quantity	2004	Head	80	Official data
Albania	Denmark	Cattle	Import Quantity	2005	Head	40	Official data
Albania	Denmark	Cattle	Import Quantity	2006	Head	40	Official data
Albania	Denmark	Cattle	Import Quantity	2008	Head	73	Official data
Albania	Denmark	Cattle	Import Value	2000	1000 US$	20	Official data
Albania	Denmark	Cattle	Import Value	2003	1000 US$	56	Official data
Albania	Denmark	Cattle	Import Value	2004	1000 US$	72	Official data
Albania	Denmark	Cattle	Import Value	2005	1000 US$	15	Official data
Albania	Denmark	Cattle	Import Value	2006	1000 US$	63	Official data
Albania	Denmark	Cattle	Import Value	2008	1000 US$	196	Official data
Albania	France	Cattle	Import Quantity	1996	Head	196	Official data
Albania	France	Cattle	Import Quantity	1999	Head	15	Official data
Albania	France	Cattle	Import Quantity	2002	Head	65	Official data
Albania	France	Cattle	Import Value	1996	1000 US$	240	Official data
Albania	France	Cattle	Import Value	1999	1000 US$	23	Official data
Albania	France	Cattle	Import Value	2002	1000 US$	9	Official data
Albania	Germany	Cattle	Import Quantity	2002	Head	224	Official data
Albania	Germany	Cattle	Import Quantity	2003	Head	526	Official data
Albania	Germany	Cattle	Import Quantity	2004	Head	527	Official data
Albania	Germany	Cattle	Import Quantity	2005	Head	562	Official data
Albania	Germany	Cattle	Import Quantity	2006	Head	589	Official data
Albania	Germany	Cattle	Import Quantity	2007	Head	132	Official data
Albania	Germany	Cattle	Import Quantity	2008	Head	63	Official data
Albania	Germany	Cattle	Import Quantity	2009	Head	368	Official data
Albania	Germany	Cattle	Import Value	2002	1000 US$	116	Official data
Albania	Germany	Cattle	Import Value	2003	1000 US$	425	Official data
Albania	Germany	Cattle	Import Value	2004	1000 US$	538	Official data
Albania	Germany	Cattle	Import Value	2005	1000 US$	515	Official data
Albania	Germany	Cattle	Import Value	2006	1000 US$	560	Official data
Albania	Germany	Cattle	Import Value	2007	1000 US$	153	Official data
Albania	Germany	Cattle	Import Value	2008	1000 US$	157	Official data
Albania	Germany	Cattle	Import Value	2009	1000 US$	350	Official data
Albania	Greece	Cattle	Import Quantity	2003	Head	125	Unofficial figure                                 
Albania	Greece	Cattle	Import Quantity	2004	Head	76	Official data
Albania	Greece	Cattle	Import Quantity	2009	Head	60	Official data
Albania	Greece	Cattle	Import Value	2003	1000 US$	26	Official data
Albania	Greece	Cattle	Import Value	2004	1000 US$	10	Official data
Albania	Greece	Cattle	Import Value	2009	1000 US$	33	Official data
Albania	Ireland	Cattle	Import Quantity	1999	Head	132	Official data
Albania	Ireland	Cattle	Import Quantity	2000	Head	70	Official data
Albania	Ireland	Cattle	Import Quantity	2004	Head	68	Official data
Albania	Ireland	Cattle	Import Quantity	2005	Head	137	Official data
Albania	Ireland	Cattle	Import Quantity	2006	Head	112	Official data
Albania	Ireland	Cattle	Import Quantity	2007	Head	124	Official data
Albania	Ireland	Cattle	Import Quantity	2008	Head	47	Official data
Albania	Ireland	Cattle	Import Quantity	2009	Head	361	Official data
Albania	Ireland	Cattle	Import Value	1999	1000 US$	86	Official data
Albania	Ireland	Cattle	Import Value	2000	1000 US$	47	Official data
Albania	Ireland	Cattle	Import Value	2004	1000 US$	72	Official data
Albania	Ireland	Cattle	Import Value	2005	1000 US$	89	Official data
Albania	Ireland	Cattle	Import Value	2006	1000 US$	79	Official data
Albania	Ireland	Cattle	Import Value	2007	1000 US$	135	Official data
Albania	Ireland	Cattle	Import Value	2008	1000 US$	82	Official data
Albania	Ireland	Cattle	Import Value	2009	1000 US$	241	Official data
Albania	Republic of Moldova	Cattle	Import Quantity	2005	Head	188	Unofficial figure                                 
Albania	Republic of Moldova	Cattle	Import Quantity	2006	Head	182	Official data
Albania	Republic of Moldova	Cattle	Import Value	2005	1000 US$	52	Official data
Albania	Republic of Moldova	Cattle	Import Value	2006	1000 US$	44	Official data
Albania	The former Yugoslav Republic of Macedonia	Cattle	Import Quantity	2002	Head	7	Official data
Albania	The former Yugoslav Republic of Macedonia	Cattle	Import Quantity	2005	Head	154	Official data
Albania	The former Yugoslav Republic of Macedonia	Cattle	Import Quantity	2006	Head	187	Official data
Albania	The former Yugoslav Republic of Macedonia	Cattle	Import Quantity	2007	Head	5220	Unofficial figure                                 
Albania	The former Yugoslav Republic of Macedonia	Cattle	Import Quantity	2008	Head	8597	Official data
Albania	The former Yugoslav Republic of Macedonia	Cattle	Import Quantity	2009	Head	6371	Official data
Albania	The former Yugoslav Republic of Macedonia	Cattle	Import Value	2002	1000 US$	1	Official data
Albania	The former Yugoslav Republic of Macedonia	Cattle	Import Value	2005	1000 US$	35	Official data
Albania	The former Yugoslav Republic of Macedonia	Cattle	Import Value	2006	1000 US$	53	Official data
Albania	The former Yugoslav Republic of Macedonia	Cattle	Import Value	2007	1000 US$	337	Official data
Albania	The former Yugoslav Republic of Macedonia	Cattle	Import Value	2008	1000 US$	2907	Official data
Albania	The former Yugoslav Republic of Macedonia	Cattle	Import Value	2009	1000 US$	2708	Official data
Albania	Russian Federation	Cattle	Import Quantity	2004	Head	110	Official data
Albania	Russian Federation	Cattle	Import Value	2004	1000 US$	20	Official data
Albania	Serbia and Montenegro	Cattle	Import Quantity	2000	Head	926	Official data
Albania	Serbia and Montenegro	Cattle	Import Quantity	2003	Head	61	Official data
Albania	Serbia and Montenegro	Cattle	Import Value	2000	1000 US$	73	Official data
Albania	Serbia and Montenegro	Cattle	Import Value	2003	1000 US$	12	Official data
Albania	Serbia and Montenegro	Cattle	Export Quantity	2001	Head	27	Official data
Albania	Serbia and Montenegro	Cattle	Export Quantity	2002	Head	6	Official data
Albania	Serbia and Montenegro	Cattle	Export Value	2001	1000 US$	18	Official data
Albania	Serbia and Montenegro	Cattle	Export Value	2002	1000 US$	2	Official data
