	       1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006   2007   2008    2009    2010	
Argentina	196	37	108	78	15	0	0	0	0	0	11	0	0	1	0	0	1	0	0	0	0	SEROTYPE O
Bolivia	13	2	18	10	24	17	7	4	1	2	7	7	8	9	0	0	0	15	0	0	0	
Brazil	43	38	158	115	304	83	9	19	5	13	12	0	0	0	1	34	0	0	0	0	0	
Colombia	83	74	226	137	361	144	25	19	92	49	37	5	8	0	0	0	0	0	2	1	0	
Ecuador	29	19	30	26	23	32	17	30	67	17	11	15	104	22	42	22	15	7	15	109	42	
Paraguay	2	27	23	12	7	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	
Peru	32	2	12	44	24	3	10	4	0	0	0	0	0	0	20	0	0	0	0	0	0	
Uruguay	13	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	
Venezuela	3	6	1	1	0	1	0	2	0	0	0	0	0	8	5	3	11	10	NA	NA	NA	
	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	
Argentina	115	60	72	4	0	0	0	0	0	0	113	2126	1	0	0	0	0	0	0	0	0	SEROTYPE A
Bolivia	4	2	0	5	3	19	1	4	6	18	18	81	1	0	0	0	0	0	0	0	0	
Brazil	43	18	72	182	150	99	18	5	1	2	6	15	0	0	0	0	0	0	0	0	0	
Colombia	250	113	82	33	40	79	81	17	11	8	1	0	0	0	2	1	0	0	3	0	0	
Ecuador	5	5	0	0	0	0	5	34	14	2	8	8	4	0	0	0	0	0	0	0	0	
Paraguay	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Peru	0	0	3	1	0	0	15	0	0	15	48	0	0	0	0	0	0	0	0	0	0	
Uruguay	11	0	0	0	0	0	0	0	0	0	0	2057	0	0	0	0	0	0	0	0	0	
Venezuela	16	16	7	3	5	3	1	1	17	4	4	4	9	55	29	10	25	33	NA	NA	NA	
	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	
Argentina	5	2	38	50	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SEROTYPE C
Bolivia	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	
Brazil	91	64	6	1	9	3	0	0	0	0	0	0			0	0	0	0	0	0	0	
Colombia	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	
Ecuador	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	
Paraguay	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	
Peru	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	
Uruguay	1	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	
Venezuela	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	
