FROM	TO	FLUX	YEAR	Cattle	Pigs	Sheep
Argentina	Australia	Import	1986	0	0	5
Argentina	Brazil	Import	1986	1	0	0
Argentina	Canada	Import	1986	29	0	0
Argentina	Chile	Import	1986	0	0	22002
Argentina	France	Import	1986	0	10	0
Argentina	GermanyFr	Import	1986	0	0	4
Argentina	Netherlands	Import	1986	0	12	0
Argentina	Paraguay	Import	1986	6	0	0
Argentina	UnitedStatesofAmerica	Import	1986	31	84	0
Argentina	Uruguay	Import	1986	24	0	33910
Argentina	Australia	Import	1987	0	0	24
Argentina	Canada	Import	1987	69	0	0
Argentina	Chile	Import	1987	0	0	9000
Argentina	France	Import	1987	20	0	0
Argentina	GermanyFr	Import	1987	5	0	0
Argentina	UnitedStatesofAmerica	Import	1987	103	96	0
Argentina	Uruguay	Import	1987	23	0	43
Argentina	Australia	Import	1988	0	0	17
Argentina	Brazil	Import	1988	4	0	0
Argentina	Canada	Import	1988	13	0	0
Argentina	Chile	Import	1988	0	0	30008
Argentina	Colombia	Import	1988	0	0	2458
Argentina	NewZealand	Import	1988	0	0	9
Argentina	Paraguay	Import	1988	4	0	0
Argentina	Peru	Import	1988	0	0	6
Argentina	UnitedStatesofAmerica	Import	1988	39	0	0
Argentina	Uruguay	Import	1988	1156	0	11364
Argentina	Australia	Import	1990	0	0	9
Argentina	Brazil	Import	1990	99	0	0
Argentina	Canada	Import	1990	8	0	0
Argentina	Chile	Import	1990	0	0	32050
Argentina	NewZealand	Import	1990	0	0	2
Argentina	Paraguay	Import	1990	6	0	0
Argentina	UnitedStatesofAmerica	Import	1990	32	5	0
Argentina	Uruguay	Import	1990	18	0	0
Argentina	Australia	Import	1991	0	0	7
Argentina	Brazil	Import	1991	0	367	0
Argentina	Canada	Import	1991	38	0	0
Argentina	Chile	Import	1991	0	72	20324
Argentina	Germany	Import	1991	0	0	6
Argentina	Paraguay	Import	1991	2	0	0
Argentina	UnitedStatesofAmerica	Import	1991	18	0	0
Argentina	Unspecified	Import	1991	0	0	4
Argentina	Uruguay	Import	1991	166	480	0
Argentina	Australia	Import	1992	0	0	6
Argentina	Brazil	Import	1992	2046	2780	0
Argentina	Canada	Import	1992	133	0	0
Argentina	Chile	Import	1992	570	874	19315
Argentina	NewZealand	Import	1992	0	0	9
Argentina	Paraguay	Import	1992	140	0	0
Argentina	UnitedStatesofAmerica	Import	1992	69	0	1
Argentina	Unspecified	Import	1992	9	0	0
Argentina	Uruguay	Import	1992	212420	0	0
Argentina	Australia	Import	1993	0	0	4
Argentina	Brazil	Import	1993	1014	964	0
Argentina	Canada	Import	1993	35	0	0
Argentina	Chile	Import	1993	889	64	0
Argentina	Spain	Import	1993	0	404	0
Argentina	UnitedStatesofAmerica	Import	1993	24	0	0
Argentina	Uruguay	Import	1993	1443	0	2611
Argentina	Australia	Import	1994	0	0	34
Argentina	Canada	Import	1994	47	0	0
Argentina	Chile	Import	1994	2086	1436	27335
Argentina	NewZealand	Import	1994	0	0	1
Argentina	Spain	Import	1994	0	360	0
Argentina	UnitedStatesofAmerica	Import	1994	146	0	0
Argentina	Uruguay	Import	1994	588	0	0
Argentina	Australia	Import	1995	0	0	15
Argentina	Canada	Import	1995	23	0	0
Argentina	Chile	Import	1995	1018	1820	31649
Argentina	Paraguay	Import	1995	110	0	0
Argentina	UnitedStatesofAmerica	Import	1995	16	0	0
Argentina	Uruguay	Import	1995	524	0	2
Argentina	Australia	Import	1996	0	0	1
Argentina	Canada	Import	1996	11	0	0
Argentina	Chile	Import	1996	594	1785	31573
Argentina	Paraguay	Import	1996	31	0	0
Argentina	UnitedStatesofAmerica	Import	1996	48	0	0
Argentina	Uruguay	Import	1996	3	0	7002
Argentina	Canada	Import	1997	25	0	0
Argentina	Chile	Import	1997	705	148	51289
Argentina	NewZealand	Import	1997	0	0	6
Argentina	Paraguay	Import	1997	357	0	0
Argentina	UnitedStatesofAmerica	Import	1997	25	0	0
Argentina	Uruguay	Import	1997	3964	8	85672
Argentina	Brazil	Import	1998	104	68	0
Argentina	Canada	Import	1998	9	0	0
Argentina	Chile	Import	1998	870	1400	2583
Argentina	NewZealand	Import	1998	0	0	145
Argentina	Paraguay	Import	1998	1291	0	0
Argentina	Spain	Import	1998	41	0	0
Argentina	UnitedStatesofAmerica	Import	1998	24	0	0
Argentina	Uruguay	Import	1998	19264	1506	29090
Argentina	Australia	Import	1999	0	0	9
Argentina	Brazil	Import	1999	160	188	0
Argentina	Canada	Import	1999	11	0	0
Argentina	Chile	Import	1999	657	2785	6329
Argentina	NewZealand	Import	1999	0	0	9
Argentina	Paraguay	Import	1999	15	0	0
Argentina	UnitedStatesofAmerica	Import	1999	10	0	0
Argentina	Uruguay	Import	1999	4811	582	14403
Argentina	Canada	Import	2000	8	0	0
Argentina	Chile	Import	2000	64	8	2124
Argentina	UnitedStatesofAmerica	Import	2000	12	0	0
Argentina	Uruguay	Import	2000	6381	0	25433
