Sample_1	Sample_2	Sample_3	Sample_4	Sample_5
1.366	1.365	1.382	1.374	1.366
1.301	1.299	1.292	1.29	1.301
0.595	0.598	0.594	0.599	0.595
0.676	0.704	0.643	0.657	0.676
1.33	1.338	1.36	1.349	1.33
0.985	0.985	0.976	0.969	0.985
1.304	1.315	1.324	1.325	1.304
0.833	0.823	0.818	0.821	0.833
2.398	2.376	2.393	2.372	2.398
0.696	0.692	0.701	0.697	0.696
0.582	0.597	0.557	0.564	0.582
1.634	1.617	1.623	1.617	1.634
0.77	0.777	0.775	0.773	0.77
0.923	0.908	0.935	0.92	0.923
0.699	0.682	0.673	0.677	0.699
0.658	0.667	0.651	0.656	0.658
0.617	0.637	0.597	0.596	0.617
1.147	1.161	1.145	1.161	1.147
0.854	0.858	0.848	0.834	0.854
1.083	1.089	1.083	1.088	1.083
0.752	0.736	0.744	0.742	0.752
2.058	1.956	2.125	2.149	2.058
0.601	0.588	0.602	0.595	0.601
0.607	0.604	0.603	0.588	0.607
0.588	0.603	0.595	0.591	0.588
1.529	1.525	1.525	1.543	1.529
0.681	0.702	0.647	0.663	0.681
1.283	1.318	1.274	1.295	1.283
0.678	0.708	0.662	0.658	0.678
0.659	0.69	0.643	0.646	0.659
1.002	1.002	0.984	0.982	1.002
1.438	1.451	1.431	1.455	1.438
0.828	0.838	0.842	0.839	0.828
0.994	0.992	0.99	1.003	0.994
0.849	0.847	0.839	0.845	0.849
0.849	0.85	0.836	0.839	0.849
