accession,date,country
APHVP1OC,1971-07-15,Brazil
AY593827,1971-07-15,Venezuela
AJ308705,1977-07-15,Argentina
DQ789075,1983-07-15,Argentina
AJ308706,1983-07-15,Argentina
KJ831663,1990-07-15,Bolivia
AJ308707,1990-07-15,Argentina
KJ831741,1992-07-15,Brazil
AJ308708,1992-07-15,Argentina
KJ831730,1993-07-15,Peru
KJ831731,1993-07-15,Peru
AJ292205,1993-07-15,Argentina
AJ292207,1993-07-15,Argentina
AJ292208,1993-07-15,Argentina
AJ292209,1993-07-15,Argentina
KJ831736,1994-07-15,Brazil
KJ831742,1994-07-15,Brazil
KJ831743,1994-07-15,Brazil
KJ831744,1994-07-15,Brazil
KJ831745,1994-07-15,Brazil
KJ831746,1994-07-15,Brazil
KJ831747,1994-07-15,Brazil
HQ695747,1994-07-15,Colombia
HQ695748,1994-07-15,Colombia
HQ695749,1994-07-15,Colombia
HQ695750,1994-07-15,Colombia
HQ695751,1994-07-15,Colombia
HQ695752,1994-07-15,Colombia
HQ695753,1994-07-15,Colombia
HQ695754,1994-07-15,Colombia
HQ695755,1994-07-15,Colombia
HQ695756,1994-07-15,Colombia
HQ695757,1994-07-15,Colombia
HQ695758,1994-07-15,Colombia
HQ695759,1994-07-15,Colombia
HQ695760,1994-07-15,Colombia
HQ695761,1994-07-15,Colombia
HQ695762,1994-07-15,Colombia
KJ831672,1994-07-15,Ecuador
KJ831673,1994-07-15,Ecuador
KJ831732,1994-07-15,Peru
KJ831733,1994-07-15,Peru
KJ831734,1994-07-15,Peru
AJ292206,1994-07-15,Argentina
AJ306212,1994-07-15,Argentina
KJ831748,1995-07-15,Brazil
HQ695763,1995-07-15,Colombia
HQ695764,1995-07-15,Colombia
HQ695765,1995-07-15,Colombia
HQ695766,1995-07-15,Colombia
HQ695767,1995-07-15,Colombia
HQ695768,1995-07-15,Colombia
HQ695769,1995-07-15,Colombia
HQ695770,1998-07-15,Colombia
HQ695771,1998-07-15,Colombia
HQ695772,1998-07-15,Colombia
HQ695773,1998-07-15,Colombia
DQ834704,1998-07-15,Brazil
HQ695774,1999-07-15,Colombia
HQ695737,2000-03-20,Bolivia
HQ695744,2000-05-07,Bolivia
HQ695806,2000-07-09,Ecuador
KJ831738,2000-07-15,Argentina
KJ831739,2000-07-15,Argentina
HQ695775,2000-07-15,Colombia
HQ695776,2000-07-15,Colombia
HQ695777,2000-07-15,Colombia
HQ695778,2000-07-15,Colombia
HQ695779,2000-07-15,Colombia
AM180025,2000-07-15,Argentina
DQ834708,2000-07-15,Bolivia
DQ834706,2000-07-15,Brazil
DQ834705,2000-07-15,Argentina
DQ834707,2000-07-15,Uruguay
AM180026,2000-08-15,Argentina
AM180027,2000-09-15,Argentina
AM180028,2000-09-15,Argentina
AM180029,2000-10-15,Argentina
HQ695738,2000-11-16,Bolivia
AM180030,2000-12-15,Argentina
HQ695739,2001-02-19,Bolivia
HQ695740,2001-05-05,Bolivia
JN005916,2001-06-08,Ecuador
HQ695741,2001-07-01,Bolivia
DQ834709,2001-07-15,Bolivia
HQ695742,2002-04-07,Bolivia
HQ695743,2002-04-12,Bolivia
HQ695783,2002-06-15,Ecuador
HQ695784,2002-06-15,Ecuador
HQ695785,2002-06-15,Ecuador
HQ695780,2002-07-15,Colombia
KJ831728,2002-07-15,Paraguay
KJ831729,2002-07-15,Paraguay
DQ834710,2002-07-15,Paraguay
HQ695792,2003-01-12,Ecuador
HQ695786,2003-01-27,Ecuador
HQ695793,2003-02-12,Ecuador
HQ695787,2003-06-02,Ecuador
HQ695790,2003-06-11,Ecuador
HQ695745,2003-07-13,Bolivia
DQ834712,2003-07-15,Bolivia
DQ834713,2003-07-15,Bolivia
DQ834711,2003-07-15,Paraguay
HQ695788,2003-07-30,Ecuador
HQ695794,2003-08-12,Ecuador
HQ695845,2003-09-01,Venezuela
HQ695789,2003-09-24,Ecuador
HQ695791,2003-11-20,Ecuador
HQ695795,2004-01-27,Ecuador
HQ695846,2004-05-03,Venezuela
HQ695796,2004-06-22,Ecuador
HQ695797,2004-06-24,Ecuador
HQ695798,2004-06-30,Ecuador
HQ695801,2004-07-01,Ecuador
HQ695800,2004-07-02,Ecuador
HQ695799,2004-07-03,Ecuador
HQ695802,2004-07-04,Ecuador
HQ695803,2004-07-05,Ecuador
HQ695804,2004-07-07,Ecuador
HQ695805,2004-07-07,Ecuador
HQ695807,2004-07-13,Ecuador
HQ695810,2004-07-15,Ecuador
HQ695808,2004-07-16,Ecuador
HQ695809,2004-07-20,Ecuador
HQ695811,2004-07-25,Ecuador
HQ695812,2004-07-26,Ecuador
HQ695813,2004-07-31,Ecuador
HQ695814,2004-09-16,Ecuador
HQ695815,2004-09-17,Ecuador
HQ695816,2004-09-20,Ecuador
HQ695817,2004-10-14,Ecuador
HQ695818,2005-01-05,Ecuador
HQ695819,2005-03-23,Ecuador
HQ695820,2005-04-01,Ecuador
HQ695823,2005-04-15,Ecuador
HQ695821,2005-04-21,Ecuador
HQ695822,2005-04-24,Ecuador
HQ695847,2005-05-12,Venezuela
HQ695825,2005-05-15,Ecuador
HQ695824,2005-05-19,Ecuador
HQ695826,2005-05-25,Ecuador
HQ695848,2005-06-10,Ecuador
HQ695827,2005-06-11,Ecuador
HQ695828,2005-06-19,Ecuador
HQ695830,2005-06-21,Ecuador
HQ695831,2005-06-22,Ecuador
HQ695832,2005-06-23,Ecuador
HQ695833,2005-06-29,Ecuador
HQ695834,2005-07-14,Ecuador
HQ695835,2005-07-15,Ecuador
DQ834714,2005-07-15,Brazil
DQ834715,2005-07-15,Brazil
DQ834716,2005-07-15,Brazil
DQ834717,2005-07-15,Brazil
DQ834718,2005-07-15,Brazil
DQ834719,2005-07-15,Brazil
DQ834720,2005-07-15,Brazil
DQ834721,2005-07-15,Brazil
DQ834722,2005-07-15,Brazil
DQ834723,2005-07-15,Brazil
DQ834724,2005-07-15,Brazil
DQ834725,2005-07-15,Brazil
DQ834726,2005-07-15,Brazil
HQ695829,2005-08-23,Ecuador
HQ695836,2005-08-23,Ecuador
HQ695837,2006-03-06,Ecuador
HQ695838,2006-03-06,Ecuador
DQ834727,2006-07-15,Argentina
HQ695849,2006-11-21,Venezuela
HQ695839,2006-11-24,Ecuador
HQ695746,2007-01-23,Bolivia
HQ695850,2007-03-19,Venezuela
HQ695840,2007-04-30,Ecuador
HQ695841,2007-07-15,Ecuador
HQ695781,2008-04-01,Colombia
HQ695782,2008-04-01,Colombia
HQ695842,2008-05-16,Ecuador
HQ695843,2008-05-31,Ecuador
HQ695844,2008-06-18,Peru
JN005890,2009-03-04,Ecuador
JN005891,2009-04-27,Ecuador
JN005894,2009-06-04,Ecuador
JN005895,2009-06-05,Ecuador
JN005899,2009-06-05,Ecuador
JN005896,2009-06-06,Ecuador
JN005897,2009-06-06,Ecuador
JN005898,2009-06-09,Ecuador
JN005900,2009-06-10,Ecuador
JN005901,2009-06-15,Ecuador
JN005902,2009-06-18,Ecuador
JN005893,2009-06-24,Ecuador
JN005892,2009-06-25,Ecuador
JN005903,2009-06-26,Ecuador
JN005904,2009-06-26,Ecuador
JN005905,2009-06-30,Ecuador
JN005906,2009-07-06,Ecuador
JN005907,2009-07-14,Ecuador
JN005908,2009-07-31,Ecuador
JN005909,2010-03-27,Ecuador
JN005910,2010-04-29,Ecuador
JN005911,2010-05-27,Ecuador
JN005912,2010-05-30,Ecuador
JN005913,2010-05-31,Ecuador
JN005917,2010-06-01,Ecuador
JN005914,2010-06-03,Ecuador
