Name,Sequences,country,date
AJ004645,AJ004645,Venezuela,1951
AJ306212,AJ306212,Argentina,1994
AJ308705,AJ308705,Argentina,1977
AJ308706,AJ308706,Argentina,1983
AJ308707,AJ308707,Argentina,1990
AJ308708,AJ308708,Argentina,1992
AM180025,AM180025,Argentina,2000
AM180026,AM180026,Argentina,2000
AM180027,AM180027,Argentina,2000
AM180028,AM180028,Argentina,2000
AM180029,AM180029,Argentina,2000
AM180030,AM180030,Argentina,2000
APHVP1OC,K01201,Brazil,1971
AY593814,AY593814,Argentina,1965
AY593818,AY593818,Argentina,1958
AY593819,AY593819,Argentina,1994
AY593820,AY593820,Argentina,1964
AY593821,AY593821,Argentina,1967
AY593825,AY593825,Argentina,1953
AY593827,AY593827,Venezuela,1971
DQ834705,DQ834705,Argentina,2000
DQ834706,DQ834706,Brazil,2000
DQ834707,DQ834707,Uruguay,2000
DQ834708,DQ834708,Bolivia,2000
DQ834709,DQ834709,Bolivia,2001
DQ834710,DQ834710,Paraguay,2002
DQ834711,DQ834711,Paraguay,2003
DQ834712,DQ834712,Bolivia,2003
DQ834713,DQ834713,Bolivia,2003
DQ834714,DQ834714,Brazil,2005
DQ834715,DQ834715,Brazil,2005
DQ834716,DQ834716,Brazil,2005
DQ834717,DQ834717,Brazil,2005
DQ834718,DQ834718,Brazil,2005
DQ834719,DQ834719,Brazil,2005
DQ834720,DQ834720,Brazil,2005
DQ834721,DQ834721,Brazil,2005
DQ834722,DQ834722,Brazil,2005
DQ834723,DQ834723,Brazil,2005
DQ834724,DQ834724,Brazil,2005
DQ834725,DQ834725,Brazil,2005
DQ834726,DQ834726,Brazil,2005
DQ834727,DQ834727,Argentina,2006
HQ695737,HQ695737,Bolivia,2000
HQ695738,HQ695738,Bolivia,2000
HQ695739,HQ695739,Bolivia,2001
HQ695740,HQ695740,Bolivia,2001
HQ695741,HQ695741,Bolivia,2001
HQ695742,HQ695742,Bolivia,2002
HQ695743,HQ695743,Bolivia,2002
HQ695744,HQ695744,Bolivia,2002
HQ695745,HQ695745,Bolivia,2003
HQ695746,HQ695746,Bolivia,2007
HQ695747,HQ695747,Colombia,1994
HQ695748,HQ695748,Colombia,1994
HQ695749,HQ695749,Colombia,1994
HQ695750,HQ695750,Colombia,1994
HQ695751,HQ695751,Colombia,1994
HQ695752,HQ695752,Colombia,1994
HQ695753,HQ695753,Colombia,1994
HQ695754,HQ695754,Colombia,1994
HQ695755,HQ695755,Colombia,1994
HQ695756,HQ695756,Colombia,1994
HQ695757,HQ695757,Colombia,1994
HQ695758,HQ695758,Colombia,1994
HQ695759,HQ695759,Colombia,1994
HQ695760,HQ695760,Colombia,1994
HQ695761,HQ695761,Colombia,1994
HQ695762,HQ695762,Colombia,1994
HQ695763,HQ695763,Colombia,1995
HQ695764,HQ695764,Colombia,1995
HQ695765,HQ695765,Colombia,1995
HQ695766,HQ695766,Colombia,1995
HQ695767,HQ695767,Colombia,1995
HQ695768,HQ695768,Colombia,1995
HQ695769,HQ695769,Colombia,1995
HQ695770,HQ695770,Colombia,1998
HQ695771,HQ695771,Colombia,1998
HQ695772,HQ695772,Colombia,1998
HQ695773,HQ695773,Colombia,1998
HQ695774,HQ695774,Colombia,1999
HQ695775,HQ695775,Colombia,2000
HQ695776,HQ695776,Colombia,2000
HQ695777,HQ695777,Colombia,2000
HQ695778,HQ695778,Colombia,2000
HQ695779,HQ695779,Colombia,2000
HQ695780,HQ695780,Colombia,2002
HQ695781,HQ695781,Colombia,2008
HQ695782,HQ695782,Colombia,2008
HQ695783,HQ695783,Ecuador,2002
HQ695784,HQ695784,Ecuador,2002
HQ695785,HQ695785,Ecuador,2002
HQ695786,HQ695786,Ecuador,2003
HQ695787,HQ695787,Ecuador,2003
HQ695788,HQ695788,Ecuador,2003
HQ695789,HQ695789,Ecuador,2003
HQ695790,HQ695790,Ecuador,2003
HQ695791,HQ695791,Ecuador,2003
HQ695792,HQ695792,Ecuador,2003
HQ695793,HQ695793,Ecuador,2003
HQ695794,HQ695794,Ecuador,2003
HQ695795,HQ695795,Ecuador,2004
HQ695796,HQ695796,Ecuador,2004
HQ695797,HQ695797,Ecuador,2004
HQ695798,HQ695798,Ecuador,2004
HQ695799,HQ695799,Ecuador,2004
HQ695800,HQ695800,Ecuador,2004
HQ695801,HQ695801,Ecuador,2004
HQ695802,HQ695802,Ecuador,2004
HQ695803,HQ695803,Ecuador,2004
HQ695804,HQ695804,Ecuador,2004
HQ695805,HQ695805,Ecuador,2004
HQ695806,HQ695806,Ecuador,2004
HQ695807,HQ695807,Ecuador,2004
HQ695808,HQ695808,Ecuador,2004
HQ695809,HQ695809,Ecuador,2004
HQ695810,HQ695810,Ecuador,2004
HQ695811,HQ695811,Ecuador,2004
