"from","to","cattleTrade_1986-1995","cattleTrade_1995-2004","cattleTrade_2004-2013","sheepTrade_1986-1995","sheepTrade_1995-2004","sheepTrade_2004-2013","pigsTrade_1986-1995","pigsTrade_1995-2004","pigsTrade_2004-2013"
"Argentina","Argentina",0,0,0,0,0,0,0,0,0
"Argentina","Bolivia",71256,64078,960,815,151,0,97,1656,300
"Argentina","Brazil",135072,21423,377,1029,0,226,26,0,0
"Argentina","Chile",0,222,0,9558,14535,4580,0,0,0
"Argentina","Colombia",0,0,305,0,0,0,0,0,0
"Argentina","Ecuador",0,0,0,0,0,0,0,0,0
"Argentina","Paraguay",580001,18919877,6993,1360,2,1249,0,0,0
"Argentina","Peru",2223,200,0,130,0,0,0,0,0
"Argentina","Uruguay",1781,0,60,323,205,31,29,1436,152
"Argentina","Venezuela",0,0,6207,0,0,0,0,0,0
"Bolivia","Argentina",0,0,0,0,0,0,0,0,0
"Bolivia","Bolivia",0,0,0,0,0,0,0,0,0
"Bolivia","Brazil",327601,13323,0,0,0,0,0,0,0
"Bolivia","Chile",0,0,0,0,0,0,0,0,0
"Bolivia","Colombia",0,0,0,0,0,0,0,0,0
"Bolivia","Ecuador",0,180,0,0,0,0,0,0,0
"Bolivia","Paraguay",0,0,0,0,0,0,0,0,0
"Bolivia","Peru",0,1284,0,0,0,0,0,0,0
"Bolivia","Uruguay",0,0,0,0,0,0,0,0,0
"Bolivia","Venezuela",0,0,0,0,0,0,0,0,0
"Brazil","Argentina",3167,1074,0,0,0,0,4347,1872,12915
"Brazil","Bolivia",3698,10348,2374,0,137,0,104,438,3547
"Brazil","Brazil",0,0,0,0,0,0,0,0,0
"Brazil","Chile",0,0,0,0,0,0,0,0,103
"Brazil","Colombia",607,5716,0,0,3,0,0,0,0
"Brazil","Ecuador",220,193,64,0,0,0,0,0,0
"Brazil","Paraguay",168,1167426,3053,833,14609,129,716,659,3497
"Brazil","Peru",6461,857,0,1211,1738,0,0,0,0
"Brazil","Uruguay",295,227,1,176,90,0,958,155,246
"Brazil","Venezuela",24,3956,3095335,0,0,0,0,0,0
"Chile","Argentina",4661,10050,461,226428,127420,3700,9872,12758,0
"Chile","Bolivia",307,77,0,400,677,0,131,3569,3281
"Chile","Brazil",0,73,0,0,8,0,0,0,0
"Chile","Chile",0,0,0,0,0,0,0,0,0
"Chile","Colombia",98,0,0,0,0,9002,47,71,23
"Chile","Ecuador",0,0,0,0,95,4,433,4994,1818
"Chile","Paraguay",234,578,0,0,0,0,0,0,0
"Chile","Peru",510,2659,0,82,1069,910,0,0,0
"Chile","Uruguay",0,0,0,0,1,0,4,0,0
"Chile","Venezuela",0,0,0,0,0,0,0,5085,3278
"Colombia","Argentina",0,0,0,2458,0,0,0,0,0
"Colombia","Bolivia",0,0,0,0,0,0,0,0,0
"Colombia","Brazil",0,39,0,0,0,0,0,0,0
"Colombia","Chile",0,0,0,0,0,0,0,0,0
"Colombia","Colombia",1858,0,0,8,0,0,2159,0,0
"Colombia","Ecuador",19,114,86,200,0,0,14982,5328,2240
"Colombia","Paraguay",0,0,0,0,0,0,0,0,0
"Colombia","Peru",131,14,738,0,0,0,0,0,0
"Colombia","Uruguay",0,0,0,0,0,0,0,0,0
"Colombia","Venezuela",191455,426711,1012943,209,90,0,0,4303,1509
"Ecuador","Argentina",0,0,0,0,0,0,0,0,0
"Ecuador","Bolivia",0,0,0,0,0,0,0,0,0
"Ecuador","Brazil",0,0,0,0,0,0,0,0,0
"Ecuador","Chile",0,0,0,0,0,0,0,0,0
"Ecuador","Colombia",13659,2300,0,0,0,0,0,58,0
"Ecuador","Ecuador",0,0,0,0,0,0,0,0,0
"Ecuador","Paraguay",0,0,0,0,0,0,0,0,0
"Ecuador","Peru",7845,6520,0,0,0,0,0,0,0
"Ecuador","Uruguay",0,0,0,0,0,0,0,0,0
"Ecuador","Venezuela",0,0,0,0,0,0,0,0,0
"Paraguay","Argentina",262,2066,15,0,0,0,0,0,0
"Paraguay","Bolivia",1235,16000,26,0,0,0,0,0,0
"Paraguay","Brazil",199715,204840,352,0,0,0,0,0,0
"Paraguay","Chile",0,0,0,0,0,0,0,0,0
"Paraguay","Colombia",0,0,0,0,0,0,0,0,0
"Paraguay","Ecuador",0,0,0,0,0,0,0,0,0
"Paraguay","Paraguay",0,0,0,0,0,0,0,0,0
"Paraguay","Peru",0,0,0,0,0,0,0,0,0
"Paraguay","Uruguay",23,0,0,0,0,0,0,0,0
"Paraguay","Venezuela",0,0,0,0,0,0,0,0,0
"Peru","Argentina",0,0,0,6,0,0,0,0,0
"Peru","Bolivia",29,13,31,230,16,492,429,99,10
"Peru","Brazil",0,0,0,0,0,0,0,0,0
"Peru","Chile",0,0,0,0,0,0,0,0,0
"Peru","Colombia",0,0,6,0,0,0,0,0,0
"Peru","Ecuador",28,0,0,0,0,0,198,1269,65690
"Peru","Paraguay",0,0,0,0,0,0,0,0,0
"Peru","Peru",16,0,0,0,0,0,0,0,0
"Peru","Uruguay",0,0,0,0,0,0,0,0,0
"Peru","Venezuela",0,0,0,0,0,0,0,0,0
"Uruguay","Argentina",217600,81360,966,18129,179957,107,480,2775,783
"Uruguay","Bolivia",1952,345,2930,466,0,0,0,0,1632
"Uruguay","Brazil",587712,134990,169836,355923,704219,108574,7,0,0
"Uruguay","Chile",0,64,0,0,0,0,0,0,0
"Uruguay","Colombia",0,0,0,0,0,145,0,0,0
"Uruguay","Ecuador",118,895,239,0,0,4124,0,0,210
"Uruguay","Paraguay",8618,457661,4572,6858,1514,2354,0,0,774
"Uruguay","Peru",242,4327,3008,11843,7,35,0,0,0
"Uruguay","Uruguay",0,0,331,0,0,0,0,0,0
"Uruguay","Venezuela",0,0,3292,0,0,0,0,0,0
"Venezuela","Argentina",0,0,0,0,0,0,0,0,0
"Venezuela","Bolivia",0,0,0,0,0,0,0,0,0
"Venezuela","Brazil",0,0,0,0,0,0,0,0,0
"Venezuela","Chile",0,0,0,0,0,2028,0,0,0
"Venezuela","Colombia",70619,38655,0,0,0,0,192078,11411,0
"Venezuela","Ecuador",0,0,0,0,0,0,147,0,0
"Venezuela","Paraguay",0,0,0,0,0,0,0,0,0
"Venezuela","Peru",0,0,0,0,0,0,0,0,0
"Venezuela","Uruguay",0,0,0,0,0,0,0,0,0
"Venezuela","Venezuela",0,0,0,0,0,0,0,0,0
