"from","to","cattleTrade_1986-1995"
"Argentina","Argentina",0
"Bolivia","Argentina",0
"Brazil","Argentina",3167
"Chile","Argentina",4661
"Colombia","Argentina",0
"Ecuador","Argentina",0
"Paraguay","Argentina",262
"Peru","Argentina",0
"Uruguay","Argentina",217600
"Venezuela","Argentina",0
"Argentina","Bolivia",71256
"Bolivia","Bolivia",0
"Brazil","Bolivia",3698
"Chile","Bolivia",307
"Colombia","Bolivia",0
"Ecuador","Bolivia",0
"Paraguay","Bolivia",1235
"Peru","Bolivia",29
"Uruguay","Bolivia",1952
"Venezuela","Bolivia",0
"Argentina","Brazil",135072
"Bolivia","Brazil",327601
"Brazil","Brazil",0
"Chile","Brazil",0
"Colombia","Brazil",0
"Ecuador","Brazil",0
"Paraguay","Brazil",199715
"Peru","Brazil",0
"Uruguay","Brazil",587712
"Venezuela","Brazil",0
"Argentina","Chile",0
"Bolivia","Chile",0
"Brazil","Chile",0
"Chile","Chile",0
"Colombia","Chile",0
"Ecuador","Chile",0
"Paraguay","Chile",0
"Peru","Chile",0
"Uruguay","Chile",0
"Venezuela","Chile",0
"Argentina","Colombia",0
"Bolivia","Colombia",0
"Brazil","Colombia",607
"Chile","Colombia",98
"Colombia","Colombia",1858
"Ecuador","Colombia",13659
"Paraguay","Colombia",0
"Peru","Colombia",0
"Uruguay","Colombia",0
"Venezuela","Colombia",70619
"Argentina","Ecuador",0
"Bolivia","Ecuador",0
"Brazil","Ecuador",220
"Chile","Ecuador",0
"Colombia","Ecuador",19
"Ecuador","Ecuador",0
"Paraguay","Ecuador",0
"Peru","Ecuador",28
"Uruguay","Ecuador",118
"Venezuela","Ecuador",0
"Argentina","Paraguay",580001
"Bolivia","Paraguay",0
"Brazil","Paraguay",168
"Chile","Paraguay",234
"Colombia","Paraguay",0
"Ecuador","Paraguay",0
"Paraguay","Paraguay",0
"Peru","Paraguay",0
"Uruguay","Paraguay",8618
"Venezuela","Paraguay",0
"Argentina","Peru",2223
"Bolivia","Peru",0
"Brazil","Peru",6461
"Chile","Peru",510
"Colombia","Peru",131
"Ecuador","Peru",7845
"Paraguay","Peru",0
"Peru","Peru",16
"Uruguay","Peru",242
"Venezuela","Peru",0
"Argentina","Uruguay",1781
"Bolivia","Uruguay",0
"Brazil","Uruguay",295
"Chile","Uruguay",0
"Colombia","Uruguay",0
"Ecuador","Uruguay",0
"Paraguay","Uruguay",23
"Peru","Uruguay",0
"Uruguay","Uruguay",0
"Venezuela","Uruguay",0
"Argentina","Venezuela",0
"Bolivia","Venezuela",0
"Brazil","Venezuela",24
"Chile","Venezuela",0
"Colombia","Venezuela",191455
"Ecuador","Venezuela",0
"Paraguay","Venezuela",0
"Peru","Venezuela",0
"Uruguay","Venezuela",0
"Venezuela","Venezuela",0
