"Area","Year","Cattle","Goats","Horses","Pigs","Sheep"
"Argentina",1961,42520000,5000000,4184000,3787000,50150000
"Argentina",1962,42901000,4970000,3966000,3074729,47305408
"Argentina",1963,40009120,4980000,3761235,3416559,46157904
"Argentina",1964,42300000,4998000,3760000,3400000,47500000
"Argentina",1965,46708688,5098000,3760000,3700000,49000000
"Argentina",1966,48800000,5200000,3780000,4000000,48500000
"Argentina",1967,51227008,5280000,3800000,4000000,49000000
"Argentina",1968,51465008,5300000,3700000,3400000,46000000
"Argentina",1969,48298208,5340000,3040000,4097569,44319840
"Argentina",1970,48439648,5380000,3620000,4400000,43000000
"Argentina",1971,49786000,5420000,3600000,4900000,41000000
"Argentina",1972,52300600,5460000,3540000,4500000,40000000
"Argentina",1973,54771008,5500000,3500000,5000000,40000000
"Argentina",1974,55354672,4580263,3500000,4126740,34691424
"Argentina",1975,56707008,4000000,3400000,4200000,34691008
"Argentina",1976,58174000,4000000,3500000,4127000,34485008
"Argentina",1977,61053808,3500000,3073479,3551712,35219616
"Argentina",1978,57791008,3200000,2825000,3393000,33499000
"Argentina",1979,56864000,3000000,3000000,3552000,32000000
"Argentina",1980,55760496,3000000,3000000,3800000,31000000
"Argentina",1981,54234800,3000000,3073000,3900000,31417696
"Argentina",1982,52650000,3000000,3000000,3900000,30400608
"Argentina",1983,53790000,2900000,3050000,3800000,30000000
"Argentina",1984,54569000,3098000,2970000,3800000,28000000
"Argentina",1985,54000000,3100000,3000000,3800000,28750000
"Argentina",1986,52537008,3100000,3000000,4000000,29167008
"Argentina",1987,50994000,3100000,3000000,3700000,28750000
"Argentina",1988,52257000,3200000,2900000,3341652,29167008
"Argentina",1989,52602000,3200000,3200000,2800000,29345008
"Argentina",1990,52845000,3300000,3400000,2400000,28571008
"Argentina",1991,52452000,3400000,3400000,2400000,26500000
"Argentina",1992,53011000,3500000,3300000,2600000,25706000
"Argentina",1993,52665200,3710060,3300000,2850000,18436200
"Argentina",1994,53156952,3977950,3300000,3300000,16922600
"Argentina",1995,52648600,3547142,3300000,3100000,15244600
"Argentina",1996,50829700,3374600,3300000,3100000,14308000
"Argentina",1997,50058900,3428000,3300000,3200000,13197800
"Argentina",1998,48048900,3400000,3300000,3500000,13500000
"Argentina",1999,49056700,3402700,3600000,1725000,13703400
"Argentina",2000,48674400,3490200,3600000,1750000,13561600
"Argentina",2001,48851400,3386600,3600000,1700000,13500000
"Argentina",2002,52000000,4000000,3650000,1600000,12400000
"Argentina",2003,55875764,4200000,3655000,1500000,13829000
"Argentina",2004,56844020,4200000,3655000,1490000,15158000
"Argentina",2005,57033528,4200000,3655000,1830000,15497000
"Argentina",2006,58293608,4200000,3650000,2260000,15838000
"Argentina",2007,58722108,4250000,3680000,2270000,16180000
"Argentina",2008,57583120,4250000,3680000,2270000,15988000
"Argentina",2009,54463872,4250000,3680000,2270000,15278000
"Argentina",2010,48949744,4037036,3600000,3179039,15024744
"Argentina",2011,47972660,4280000,3590000,3437003,14731000
"Argentina",2012,49865864,4350000,3650000,3818758,14697000
"Argentina",2013,50996397,4375000,3620000,4221954,14574880
"Argentina",2014,51646544,4400000,3600000,4692103,14534000
"Argentina",2015,51429848,4720674,2447307,5011446,14859486
"Argentina",2016,52636778,4712173,2447582,5119438,14864321
"Argentina",2017,53353787,4720524,2527764,5400000,14842957
"Bolivia",1961,1830000,1700000,191000,619000,5965000
"Bolivia",1962,1880000,1764000,193000,631000,6174000
"Bolivia",1963,1930000,1940400,194000,642000,6300000
"Bolivia",1964,1980000,2000000,194900,653500,6097000
"Bolivia",1965,2030000,2000000,214300,703769,6143900
"Bolivia",1966,2080000,2000000,223000,710000,6150000
"Bolivia",1967,2131900,2100000,244000,719000,6378300
"Bolivia",1968,2183658,2150000,264000,777000,6460000
"Bolivia",1969,2190000,2200000,284000,837000,6722700
"Bolivia",1970,2290800,2351420,290000,909000,6786800
"Bolivia",1971,2411840,2445480,300000,953000,6965400
"Bolivia",1972,2564875,2543290,300000,1000000,7144000
"Bolivia",1973,2658810,2645030,310000,1050000,7322770
"Bolivia",1974,3096000,2711220,320000,1102500,7506016
"Bolivia",1975,3244035,2792550,340000,1157625,7693847
"Bolivia",1976,3398110,2848400,360000,1231850,7987930
"Bolivia",1977,3578280,2913900,370000,1292300,8229000
"Bolivia",1978,4208600,2945950,360000,1350610,8462471
"Bolivia",1979,4523200,2978400,340000,1411550,8784100
"Bolivia",1980,4698700,2006700,330000,1600600,9056600
"Bolivia",1981,4487800,2013500,320000,1646800,9060000
"Bolivia",1982,4601600,2045000,310000,1706100,8200000
"Bolivia",1983,5616600,1757400,300000,1909900,7500000
"Bolivia",1984,5214626,1296390,292600,1693800,6592158
"Bolivia",1985,5515100,1297955,310600,1724600,7803600
"Bolivia",1986,5055183,1382589,310000,1788377,6033596
"Bolivia",1987,5238591,1507408,315000,1902263,7245575
"Bolivia",1988,5401561,1480000,315000,2019088,7505493
"Bolivia",1989,5475891,1459250,320000,2126537,7701137
"Bolivia",1990,5131659,1445123,320000,1113083,6113769
"Bolivia",1991,5228026,1467617,320000,1175966,6273603
"Bolivia",1992,5349406,1485946,322000,1237341,6380331
"Bolivia",1993,5463082,1511243,322000,1307398,6552555
"Bolivia",1994,5603739,1532984,322000,1368858,6719515
"Bolivia",1995,5737977,1559007,322000,1443817,6892612
"Bolivia",1996,5886283,1585726,322000,1524230,7067739
"Bolivia",1997,6061216,1613273,322000,1609114,7250723
"Bolivia",1998,6225688,1637114,322000,1697767,7422892
"Bolivia",1999,6392425,1672516,340000,1776463,7629157
"Bolivia",2000,6911930,1700611,360000,1746200,7352951
"Bolivia",2001,6500096,1726858,380000,1820129,7477123
"Bolivia",2002,6673475,1769433,400000,1906989,7596897
"Bolivia",2003,6851256,1823106,428626,1994591,7723474
