"Year","Cattle","Goats","Horses","Pigs","Sheep"
1961,144273652,18655245,12231892,38296668,117770156
1962,146876252,18916453,12072125,37933537,116188552
1963,146156904,19531088,12112003,38820329,115267578
1964,150950602,19503888,12254550,39923109,115885379
1965,157663259,19665095,12303322,40844509,118891981
1966,163031732,19820407,12428456,41795809,119793416
1967,169291451,17790000,12520742,42613920,119504224
1968,172860023,17938885,12582275,42467678,117911353
1969,173619311,18173200,11885473,43880081,119002156
1970,177130182,18350362,12438257,45109074,114715215
1971,182947302,18576473,12455952,46571018,110594644
1972,191426880,19132104,12588075,46967192,105234700
1973,197923771,19630917,12821024,48707205,105555909
1974,205759487,19618569,13022826,49664420,99787140
1975,211552099,18983821,13300576,51261356,100785680
1976,222556172,19242915,13169960,51636565,101340177
1977,232155758,18662300,12580411,50761221,101627068
1978,229646793,18594250,12315140,50175852,98921380
1979,231668741,18864737,12604455,52852303,99646666
1980,241811898,17998535,12773641,51902856,102340862
1981,244462230,18519911,13049400,50228014,104509443
1982,245363689,18723352,12996610,51575641,102049838
1983,246342914,18291777,13045370,50498754,99492220
1984,249534469,19014928,13259046,51350059,96484100
1985,250410936,19337913,13522486,50329358,99381472
1986,253345604,20151001,13703815,50926328,101263776
1987,257300661,20602373,13871907,50951297,103031574
1988,264107434,21269833,13983447,51392402,104192749
1989,269118793,21644420,14503286,51697186,104311385
1990,271546026,22043000,14608167,51210188,101863714
1991,276397586,22608763,14736297,52277964,101313558
1992,280777685,22804310,14856523,53054859,98536615
1993,283177986,21654734,14970658,53361231,87748309
1994,288857847,22235870,15176450,55385478,85132397
1995,292721798,21592365,15324973,55383281,82969099
1996,289272607,17633591,14654037,48489861,78052597
1997,291899780,18381101,14892691,48953408,75206109
1998,291755184,18589958,14932080,49195332,73951509
1999,293471215,19174971,15263841,46968269,73876640
2000,298614095,20019020,15197877,48130747,72016595
2001,305881600,20145735,15499040,49873256,71165045
2002,319213219,20567676,15163122,48909769,67226828
2003,335013932,20980137,15262715,49100852,68563732
2004,345379953,21544112,15211913,49936290,70239405
2005,349721987,21889685,15166675,51630772,72053155
2006,350942397,22043775,14984962,55015945,72909310
2007,346335849,21181775,14845326,56704434,72940436
2008,348831259,21161642,14728182,57782527,72310958
2009,349826242,21073031,14744094,59399819,70697681
2010,346852922,20998676,14323791,62202697,70184755
2011,347630316,21266642,14143366,63550610,69692086
2012,349722038,20282391,12995911,63417881,67405661
2013,350198008,20495515,12800017,62255057,67669036
2014,351659025,20416371,12904408,64116308,65087760
2015,353453695,21525204,11787930,66222399,63872383
2016,357426148,21463959,12084627,64908747,63274594
2017,354679050,21316509,12195299,66370417,62739365
