Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1961","1961","Head","42520000","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1962","1962","Head","42901000","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1963","1963","Head","40009120","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1964","1964","Head","42300000","*","Unofficial figure"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1965","1965","Head","46708688","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1966","1966","Head","48800000","*","Unofficial figure"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1967","1967","Head","51227008","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1968","1968","Head","51465008","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1969","1969","Head","48298208","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1970","1970","Head","48439648","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1971","1971","Head","49786000","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1972","1972","Head","52300600","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1973","1973","Head","54771008","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1974","1974","Head","55354672","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1975","1975","Head","56707008","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1976","1976","Head","58174000","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1977","1977","Head","61053808","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1978","1978","Head","57791008","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1979","1979","Head","56864000","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1980","1980","Head","55760496","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1981","1981","Head","54234800","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1982","1982","Head","52650000","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1983","1983","Head","53790000","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1984","1984","Head","54569000","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1985","1985","Head","54000000","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1986","1986","Head","52537008","","Official data"
"QA","Live Animals","9","Argentina","5111","Stocks","866","Cattle","1987","1987","Head","50994000","","Official data"
