Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,9,Argentina,9,Argentina,5608,Import Quantity,1096,Horses,2000,2000,Head,23,,Official data
TM,Detailed trade matrix,9,Argentina,9,Argentina,5608,Import Quantity,1096,Horses,2001,2001,Head,10,,Official data
TM,Detailed trade matrix,9,Argentina,9,Argentina,5608,Import Quantity,1096,Horses,2002,2002,Head,7,,Official data
TM,Detailed trade matrix,9,Argentina,9,Argentina,5608,Import Quantity,1096,Horses,2003,2003,Head,23,,Official data
TM,Detailed trade matrix,9,Argentina,9,Argentina,5608,Import Quantity,1096,Horses,2005,2005,Head,18,,Official data
TM,Detailed trade matrix,9,Argentina,9,Argentina,5608,Import Quantity,1096,Horses,2006,2006,Head,25,,Official data
TM,Detailed trade matrix,9,Argentina,9,Argentina,5608,Import Quantity,1096,Horses,2007,2007,Head,19,,Official data
TM,Detailed trade matrix,9,Argentina,9,Argentina,5608,Import Quantity,1096,Horses,2008,2008,Head,20,,Official data
TM,Detailed trade matrix,9,Argentina,9,Argentina,5608,Import Quantity,1096,Horses,2009,2009,Head,15,,Official data
TM,Detailed trade matrix,9,Argentina,9,Argentina,5608,Import Quantity,1096,Horses,2010,2010,Head,6,,Official data
TM,Detailed trade matrix,9,Argentina,9,Argentina,5608,Import Quantity,1096,Horses,2011,2011,Head,11,,Official data
TM,Detailed trade matrix,9,Argentina,9,Argentina,5608,Import Quantity,1096,Horses,2012,2012,Head,14,,Official data
TM,Detailed trade matrix,9,Argentina,9,Argentina,5608,Import Quantity,1096,Horses,2013,2013,Head,5,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,1987,1987,Head,455,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,1988,1988,Head,25,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,1989,1989,Head,51,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,1990,1990,Head,146,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,1991,1991,Head,362,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,1992,1992,Head,5443,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,1993,1993,Head,3068,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,1994,1994,Head,22681,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,1995,1995,Head,38737,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,1996,1996,Head,18214,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,1997,1997,Head,30471,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,1998,1998,Head,7361,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,2000,2000,Head,7493,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,2001,2001,Head,36,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,2006,2006,Head,25,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,2007,2007,Head,19,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,2008,2008,Head,245,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,2009,2009,Head,283,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,2010,2010,Head,161,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,2011,2011,Head,71,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,2012,2012,Head,139,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5608,Import Quantity,1096,Horses,1991,1991,Head,5,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5608,Import Quantity,1096,Horses,2006,2006,Head,5,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5608,Import Quantity,1096,Horses,2009,2009,Head,2,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,1987,1987,Head,58,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,1988,1988,Head,176,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,1989,1989,Head,15,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,1990,1990,Head,3,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,1991,1991,Head,18,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,1992,1992,Head,67,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,1993,1993,Head,30,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,1994,1994,Head,66,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,1995,1995,Head,59,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,1996,1996,Head,79,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,1997,1997,Head,49,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,1998,1998,Head,122,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,2000,2000,Head,13,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,2001,2001,Head,13,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,2002,2002,Head,20,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,2003,2003,Head,45,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,2004,2004,Head,24,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,2005,2005,Head,12,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,2006,2006,Head,3,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,2007,2007,Head,11,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,2008,2008,Head,1,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,2009,2009,Head,20,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,2012,2012,Head,2,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,2013,2013,Head,4,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1034,Pigs,1987,1987,Head,64,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1034,Pigs,1995,1995,Head,33,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1034,Pigs,2003,2003,Head,450,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1034,Pigs,2004,2004,Head,186,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1034,Pigs,2006,2006,Head,33,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,1034,Pigs,2009,2009,Head,51,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,976,Sheep,1987,1987,Head,205,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,976,Sheep,1988,1988,Head,520,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,976,Sheep,1992,1992,Head,90,,Official data
TM,Detailed trade matrix,9,Argentina,19,Bolivia (Plurinational State of),5908,Export Quantity,976,Sheep,1996,1996,Head,151,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5908,Export Quantity,1171,Animals live nes,1986,1986,Head,1,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5908,Export Quantity,1107,Asses,1988,1988,Head,6,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5608,Import Quantity,946,Buffaloes,1991,1991,Head,654,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5908,Export Quantity,1157,"Camelids, other",2013,2013,Head,9,*,Unofficial figure
TM,Detailed trade matrix,9,Argentina,21,Brazil,5608,Import Quantity,866,Cattle,1986,1986,Head,1,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5608,Import Quantity,866,Cattle,1988,1988,Head,4,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5608,Import Quantity,866,Cattle,1990,1990,Head,99,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5608,Import Quantity,866,Cattle,1992,1992,Head,2046,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5608,Import Quantity,866,Cattle,1993,1993,Head,1014,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5608,Import Quantity,866,Cattle,1998,1998,Head,104,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5608,Import Quantity,866,Cattle,1999,1999,Head,160,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5608,Import Quantity,866,Cattle,2003,2003,Head,2,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5908,Export Quantity,866,Cattle,1987,1987,Head,94,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5908,Export Quantity,866,Cattle,1988,1988,Head,28,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5908,Export Quantity,866,Cattle,1989,1989,Head,403,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5908,Export Quantity,866,Cattle,1990,1990,Head,1716,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5908,Export Quantity,866,Cattle,1991,1991,Head,2295,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5908,Export Quantity,866,Cattle,1992,1992,Head,2624,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5908,Export Quantity,866,Cattle,1993,1993,Head,3538,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5908,Export Quantity,866,Cattle,1994,1994,Head,25886,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5908,Export Quantity,866,Cattle,1995,1995,Head,85231,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5908,Export Quantity,866,Cattle,1996,1996,Head,7330,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5908,Export Quantity,866,Cattle,1997,1997,Head,5563,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5908,Export Quantity,866,Cattle,1998,1998,Head,1828,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5908,Export Quantity,866,Cattle,2000,2000,Head,6528,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5908,Export Quantity,866,Cattle,2009,2009,Head,213,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5908,Export Quantity,866,Cattle,2010,2010,Head,108,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5908,Export Quantity,866,Cattle,2011,2011,Head,22,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5908,Export Quantity,866,Cattle,2012,2012,Head,17,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5908,Export Quantity,866,Cattle,2013,2013,Head,17,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5608,Import Quantity,1016,Goats,1991,1991,Head,47,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5608,Import Quantity,1096,Horses,1986,1986,Head,8,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5608,Import Quantity,1096,Horses,1987,1987,Head,11,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5608,Import Quantity,1096,Horses,1990,1990,Head,20,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5608,Import Quantity,1096,Horses,1991,1991,Head,13,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5608,Import Quantity,1096,Horses,1992,1992,Head,54,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5608,Import Quantity,1096,Horses,1993,1993,Head,31,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5608,Import Quantity,1096,Horses,1994,1994,Head,40,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5608,Import Quantity,1096,Horses,1995,1995,Head,29,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5608,Import Quantity,1096,Horses,1996,1996,Head,40,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5608,Import Quantity,1096,Horses,1997,1997,Head,16,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5608,Import Quantity,1096,Horses,1998,1998,Head,65,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5608,Import Quantity,1096,Horses,1999,1999,Head,44,,Official data
TM,Detailed trade matrix,9,Argentina,21,Brazil,5608,Import Quantity,1096,Horses,2000,2000,Head,59,,Official data
