Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
TA,Live animals,169,Paraguay,5608,Import Quantity,1096,Horses,1961,1961,Head,0,,Official data
TA,Live animals,169,Paraguay,5908,Export Quantity,1096,Horses,1961,1961,Head,0,,Official data
TA,Live animals,170,Peru,5608,Import Quantity,1096,Horses,1961,1961,Head,130,,Official data
TA,Live animals,170,Peru,5908,Export Quantity,1096,Horses,1961,1961,Head,114,,Official data
TA,Live animals,19,Bolivia (Plurinational State of),5608,Import Quantity,1096,Horses,1961,1961,Head,1890,*,Unofficial figure
TA,Live animals,19,Bolivia (Plurinational State of),5908,Export Quantity,1096,Horses,1961,1961,Head,0,,Official data
TA,Live animals,21,Brazil,5608,Import Quantity,1096,Horses,1961,1961,Head,71,,Official data
TA,Live animals,21,Brazil,5908,Export Quantity,1096,Horses,1961,1961,Head,51,,Official data
TA,Live animals,234,Uruguay,5608,Import Quantity,1096,Horses,1961,1961,Head,0,,Official data
TA,Live animals,234,Uruguay,5908,Export Quantity,1096,Horses,1961,1961,Head,0,,Official data
TA,Live animals,236,Venezuela (Bolivarian Republic of),5608,Import Quantity,1096,Horses,1961,1961,Head,230,F,FAO estimate
TA,Live animals,236,Venezuela (Bolivarian Republic of),5908,Export Quantity,1096,Horses,1961,1961,Head,0,,Official data
TA,Live animals,44,Colombia,5608,Import Quantity,1096,Horses,1961,1961,Head,0,,Official data
TA,Live animals,44,Colombia,5908,Export Quantity,1096,Horses,1961,1961,Head,0,,Official data
TA,Live animals,58,Ecuador,5608,Import Quantity,1096,Horses,1961,1961,Head,0,,Official data
TA,Live animals,58,Ecuador,5908,Export Quantity,1096,Horses,1961,1961,Head,0,,Official data
TA,Live animals,9,Argentina,5608,Import Quantity,1096,Horses,1961,1961,Head,154,,Official data
TA,Live animals,9,Argentina,5908,Export Quantity,1096,Horses,1961,1961,Head,1464,,Official data
TA,Live animals,21,Brazil,5608,Import Quantity,1126,Camels,1961,1961,Head,,M,Data not available
TA,Live animals,44,Colombia,5908,Export Quantity,1126,Camels,1961,1961,Head,,M,Data not available
TA,Live animals,170,Peru,5908,Export Quantity,1157,"Camelids, other",1961,1961,Head,,M,Data not available
TA,Live animals,19,Bolivia (Plurinational State of),5608,Import Quantity,1157,"Camelids, other",1961,1961,Head,,M,Data not available
TA,Live animals,44,Colombia,5608,Import Quantity,1157,"Camelids, other",1961,1961,Head,,M,Data not available
TA,Live animals,44,Colombia,5908,Export Quantity,1157,"Camelids, other",1961,1961,Head,,M,Data not available
TA,Live animals,58,Ecuador,5608,Import Quantity,1157,"Camelids, other",1961,1961,Head,,M,Data not available
TA,Live animals,9,Argentina,5608,Import Quantity,1157,"Camelids, other",1961,1961,Head,,M,Data not available
TA,Live animals,9,Argentina,5908,Export Quantity,1157,"Camelids, other",1961,1961,Head,,M,Data not available
TA,Live animals,169,Paraguay,5608,Import Quantity,866,Cattle,1961,1961,Head,0,,Official data
TA,Live animals,169,Paraguay,5908,Export Quantity,866,Cattle,1961,1961,Head,0,,Official data
TA,Live animals,170,Peru,5608,Import Quantity,866,Cattle,1961,1961,Head,32344,,Official data
TA,Live animals,170,Peru,5908,Export Quantity,866,Cattle,1961,1961,Head,0,,Official data
TA,Live animals,19,Bolivia (Plurinational State of),5608,Import Quantity,866,Cattle,1961,1961,Head,2600,*,Unofficial figure
TA,Live animals,19,Bolivia (Plurinational State of),5908,Export Quantity,866,Cattle,1961,1961,Head,2900,*,Unofficial figure
TA,Live animals,21,Brazil,5608,Import Quantity,866,Cattle,1961,1961,Head,15433,,Official data
TA,Live animals,21,Brazil,5908,Export Quantity,866,Cattle,1961,1961,Head,441,,Official data
TA,Live animals,234,Uruguay,5608,Import Quantity,866,Cattle,1961,1961,Head,1281,,Official data
TA,Live animals,234,Uruguay,5908,Export Quantity,866,Cattle,1961,1961,Head,1402,,Official data
TA,Live animals,236,Venezuela (Bolivarian Republic of),5608,Import Quantity,866,Cattle,1961,1961,Head,96072,*,Unofficial figure
TA,Live animals,236,Venezuela (Bolivarian Republic of),5908,Export Quantity,866,Cattle,1961,1961,Head,0,,Official data
TA,Live animals,44,Colombia,5608,Import Quantity,866,Cattle,1961,1961,Head,390,,Official data
TA,Live animals,44,Colombia,5908,Export Quantity,866,Cattle,1961,1961,Head,100000,,Official data
TA,Live animals,58,Ecuador,5608,Import Quantity,866,Cattle,1961,1961,Head,100,,Official data
TA,Live animals,58,Ecuador,5908,Export Quantity,866,Cattle,1961,1961,Head,0,,Official data
TA,Live animals,9,Argentina,5608,Import Quantity,866,Cattle,1961,1961,Head,1249,,Official data
TA,Live animals,9,Argentina,5908,Export Quantity,866,Cattle,1961,1961,Head,171106,,Official data
TA,Live animals,169,Paraguay,5608,Import Quantity,976,Sheep,1961,1961,Head,0,,Official data
TA,Live animals,169,Paraguay,5908,Export Quantity,976,Sheep,1961,1961,Head,,M,Data not available
TA,Live animals,170,Peru,5608,Import Quantity,976,Sheep,1961,1961,Head,527,,Official data
TA,Live animals,170,Peru,5908,Export Quantity,976,Sheep,1961,1961,Head,0,,Official data
TA,Live animals,19,Bolivia (Plurinational State of),5608,Import Quantity,976,Sheep,1961,1961,Head,0,,Official data
TA,Live animals,21,Brazil,5608,Import Quantity,976,Sheep,1961,1961,Head,17641,,Official data
TA,Live animals,21,Brazil,5908,Export Quantity,976,Sheep,1961,1961,Head,0,,Official data
TA,Live animals,234,Uruguay,5608,Import Quantity,976,Sheep,1961,1961,Head,44,,Official data
TA,Live animals,234,Uruguay,5908,Export Quantity,976,Sheep,1961,1961,Head,18105,,Official data
TA,Live animals,236,Venezuela (Bolivarian Republic of),5608,Import Quantity,976,Sheep,1961,1961,Head,767,*,Unofficial figure
TA,Live animals,236,Venezuela (Bolivarian Republic of),5908,Export Quantity,976,Sheep,1961,1961,Head,0,,Official data
