"from","to","sheepTrade_1986-1995"
"Argentina","Argentina",0
"Bolivia","Argentina",0
"Brazil","Argentina",0
"Chile","Argentina",226428
"Colombia","Argentina",2458
"Ecuador","Argentina",0
"Paraguay","Argentina",0
"Peru","Argentina",6
"Uruguay","Argentina",18129
"Venezuela","Argentina",0
"Argentina","Bolivia",815
"Bolivia","Bolivia",0
"Brazil","Bolivia",0
"Chile","Bolivia",400
"Colombia","Bolivia",0
"Ecuador","Bolivia",0
"Paraguay","Bolivia",0
"Peru","Bolivia",230
"Uruguay","Bolivia",466
"Venezuela","Bolivia",0
"Argentina","Brazil",1029
"Bolivia","Brazil",0
"Brazil","Brazil",0
"Chile","Brazil",0
"Colombia","Brazil",0
"Ecuador","Brazil",0
"Paraguay","Brazil",0
"Peru","Brazil",0
"Uruguay","Brazil",355923
"Venezuela","Brazil",0
"Argentina","Chile",9558
"Bolivia","Chile",0
"Brazil","Chile",0
"Chile","Chile",0
"Colombia","Chile",0
"Ecuador","Chile",0
"Paraguay","Chile",0
"Peru","Chile",0
"Uruguay","Chile",0
"Venezuela","Chile",0
"Argentina","Colombia",0
"Bolivia","Colombia",0
"Brazil","Colombia",0
"Chile","Colombia",0
"Colombia","Colombia",8
"Ecuador","Colombia",0
"Paraguay","Colombia",0
"Peru","Colombia",0
"Uruguay","Colombia",0
"Venezuela","Colombia",0
"Argentina","Ecuador",0
"Bolivia","Ecuador",0
"Brazil","Ecuador",0
"Chile","Ecuador",0
"Colombia","Ecuador",200
"Ecuador","Ecuador",0
"Paraguay","Ecuador",0
"Peru","Ecuador",0
"Uruguay","Ecuador",0
"Venezuela","Ecuador",0
"Argentina","Paraguay",1360
"Bolivia","Paraguay",0
"Brazil","Paraguay",833
"Chile","Paraguay",0
"Colombia","Paraguay",0
"Ecuador","Paraguay",0
"Paraguay","Paraguay",0
"Peru","Paraguay",0
"Uruguay","Paraguay",6858
"Venezuela","Paraguay",0
"Argentina","Peru",130
"Bolivia","Peru",0
"Brazil","Peru",1211
"Chile","Peru",82
"Colombia","Peru",0
"Ecuador","Peru",0
"Paraguay","Peru",0
"Peru","Peru",0
"Uruguay","Peru",11843
"Venezuela","Peru",0
"Argentina","Uruguay",323
"Bolivia","Uruguay",0
"Brazil","Uruguay",176
"Chile","Uruguay",0
"Colombia","Uruguay",0
"Ecuador","Uruguay",0
"Paraguay","Uruguay",0
"Peru","Uruguay",0
"Uruguay","Uruguay",0
"Venezuela","Uruguay",0
"Argentina","Venezuela",0
"Bolivia","Venezuela",0
"Brazil","Venezuela",0
"Chile","Venezuela",0
"Colombia","Venezuela",209
"Ecuador","Venezuela",0
"Paraguay","Venezuela",0
"Peru","Venezuela",0
"Uruguay","Venezuela",0
"Venezuela","Venezuela",0
