"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,161,108,0,42,0,907,0,0,0
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",0,311,0,0,0,0,0,0,0,870973
"Chile",0,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,0,0,0,125,0,31
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",15,26,0,0,0,0,0,0,0,0
"Peru",0,1,0,0,0,0,0,0,0,0
"Uruguay",1,0,6770,0,0,0,171,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
