"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,58,76,278,10,0,357,24,212,62
"Bolivia (Plurinational State of)",0,0,0,0,0,0,0,0,0,0
"Brazil",11,0,0,0,0,0,6,0,8,3
"Chile",9,8,8,0,6,28,0,20,0,24
"Colombia",0,0,0,0,0,151,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,12,0
"Peru",13,75,0,3,0,29,0,0,0,0
"Uruguay",643,2,176,0,0,0,2735,0,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,0,0,0,0,0,0
