"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",0,38737,97308,0,0,0,251530,892,0,0
"Bolivia (Plurinational State of)",0,0,1508,0,0,0,0,0,0,0
"Brazil",0,1199,0,0,257,0,11,88,0,0
"Chile",1042,0,0,0,0,0,0,0,0,0
"Colombia",0,0,0,0,788,0,0,0,0,21851
"Ecuador",0,0,0,0,4388,0,0,1776,0,0
"Paraguay",110,0,48002,0,0,0,0,0,0,0
"Peru",0,0,0,0,0,0,0,0,0,0
"Uruguay",524,249,209386,0,0,0,2609,242,0,0
"Venezuela (Bolivarian Republic of)",0,0,0,0,122,0,0,0,0,0
