"","Argentina","Bolivia (Plurinational State of)","Brazil","Chile","Colombia","Ecuador","Paraguay","Peru","Uruguay","Venezuela (Bolivarian Republic of)"
"Argentina",25,3,140,56,216,61,434,19,145,72
"Bolivia (Plurinational State of)",5,0,0,0,0,0,0,2,0,0
"Brazil",66,15,5,9,0,9,15,0,263,3
"Chile",89,0,125,0,9,7,6,0,2,2
"Colombia",4,0,0,0,0,6,0,0,0,561
"Ecuador",11,0,0,0,20,0,0,0,0,0
"Paraguay",0,0,1,0,0,0,0,0,0,0
"Peru",11,0,0,10,2,69,0,0,2,0
"Uruguay",88,0,15,4,2,0,64,0,0,1
"Venezuela (Bolivarian Republic of)",0,0,0,0,57,0,0,0,0,0
